+-----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
|     |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |    time | name_hdf            |
|-----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------|
|   0 |       0 | 080329 | mask   |     0 |    6   |  4.99819e-09 |   1.6 |     0   |  25.01 |     20 |   34.09 | sans2021n080329.hdf |
|   1 |       1 | 080330 | mask   |     2 |    6   |  4.99997e-09 |   1.6 |     0   |  25    |     10 |   17.02 | sans2021n080330.hdf |
|   2 |       2 | 080332 | mask   |     0 |    4.5 |  5.00158e-09 |   4.5 |     0   |  25    |     20 |   33.97 | sans2021n080332.hdf |
|   3 |       3 | 080333 | mask   |     2 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.99 |     10 |   17.01 | sans2021n080333.hdf |
|   4 |       4 | 080334 | EB     |     2 |    4.5 |  4.99747e-09 |   4.5 |     0   |  25.63 |     10 |   16.97 | sans2021n080334.hdf |
|   5 |       5 | 080335 | Cd     |     2 |    4.5 |  4.99747e-09 |   4.5 |     0   |  25.37 |     10 |   16.95 | sans2021n080335.hdf |
|   6 |       6 | 080336 | EC     |     2 |    4.5 |  4.99872e-09 |   4.5 |     0   |  25.11 |     10 |   18.13 | sans2021n080336.hdf |
|   7 |       7 | 080337 | H2O    |     2 |    4.5 |  4.99872e-09 |   4.5 |     0   |  25    |     10 |   17    | sans2021n080337.hdf |
|   8 |       8 | 080338 | Cd     |     0 |    4.5 |  4.99926e-09 |   4.5 |     0   |  25    |    100 |  170.71 | sans2021n080338.hdf |
|   9 |       9 | 080339 | EC     |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25    |    500 |  861.77 | sans2021n080339.hdf |
|  10 |      10 | 080340 | H2O    |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25    |    500 |  860.8  | sans2021n080340.hdf |
|  11 |      11 | 080341 | Cd     |     0 |    6   |  5.00033e-09 |   1.6 |     0   |  25.01 |    100 |  173.03 | sans2021n080341.hdf |
|  12 |      12 | 080342 | EC     |     0 |    6   |  5.0023e-09  |   1.6 |     0   |  25    |    500 |  860.35 | sans2021n080342.hdf |
|  13 |      13 | 080343 | H2O    |     0 |    6   |  5.00105e-09 |   1.6 |     0   |  24.97 |    500 |  869.72 | sans2021n080343.hdf |
|  14 |      14 | 080346 | EC     |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25.02 |     10 |    8.31 | sans2021n080346.hdf |
|  15 |      15 | 080347 | G      |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25.01 |     10 |   16.99 | sans2021n080347.hdf |
