+----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
|    |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |    time | name_hdf            |
|----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------|
|  0 |      70 | 080409 | mask   |     0 |     18 |  5.00158e-09 |    18 |     0.4 |  24.99 |     20 |   34.35 | sans2021n080409.hdf |
|  1 |      71 | 080410 | EB     |     1 |     18 |  4.99997e-09 |    18 |     0.4 |  24.99 |     10 |   18.47 | sans2021n080410.hdf |
|  2 |      72 | 080411 | Cd     |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  24.99 |    100 |  170.99 | sans2021n080411.hdf |
|  3 |      73 | 080412 | EC     |     0 |     18 |  4.99926e-09 |    18 |     0.4 |  25    |    500 |  868.54 | sans2021n080412.hdf |
|  4 |      74 | 080413 | J      |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  24.99 |   1000 | 1716.81 | sans2021n080413.hdf |
|  5 |      75 | 080414 | K      |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  24.99 |   1000 | 1726.18 | sans2021n080414.hdf |
|  6 |      76 | 080415 | L      |     0 |     18 |  4.99979e-09 |    18 |     0.4 |  25    |   1000 | 1725.64 | sans2021n080415.hdf |
|  7 |      77 | 080416 | M      |     0 |     18 |  4.99926e-09 |    18 |     0.4 |  25.01 |   1000 | 1714.11 | sans2021n080416.hdf |
|  8 |      78 | 080417 | N      |     0 |     18 |  5.0023e-09  |    18 |     0.4 |  25.01 |   1000 | 1681.89 | sans2021n080417.hdf |
|  9 |      79 | 080418 | O      |     0 |     18 |  5.00105e-09 |    18 |     0.4 |  25.01 |   1000 | 1681.46 | sans2021n080418.hdf |
| 10 |      80 | 080419 | P      |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  25    |   1000 | 1675.94 | sans2021n080419.hdf |
| 11 |      81 | 080420 | Q      |     0 |     18 |  4.99926e-09 |    18 |     0.4 |  24.99 |   1000 | 1679    | sans2021n080420.hdf |
| 12 |      82 | 080421 | R      |     0 |     18 |  5.00105e-09 |    18 |     0.4 |  25.01 |   1000 | 1687.45 | sans2021n080421.hdf |
| 13 |      83 | 080422 | S      |     0 |     18 |  4.99979e-09 |    18 |     0.4 |  25.01 |   1000 | 1686.37 | sans2021n080422.hdf |
| 14 |      84 | 080423 | T      |     0 |     18 |  4.99747e-09 |    18 |     0.4 |  25.01 |   1000 | 1686.25 | sans2021n080423.hdf |
| 15 |      85 | 080424 | U      |     0 |     18 |  5.00284e-09 |    18 |     0.4 |  24.97 |   1000 | 1687.81 | sans2021n080424.hdf |
| 16 |      86 | 080425 | V      |     0 |     18 |  5.00105e-09 |    18 |     0.4 |  25.01 |   1000 | 1678.47 | sans2021n080425.hdf |
| 17 |      87 | 080426 | EC     |     0 |     18 |  4.99747e-09 |    18 |     0.4 |  25.01 |   1000 | 1681.15 | sans2021n080426.hdf |
| 18 |      88 | 080427 | A      |     0 |     18 |  5.00051e-09 |    18 |     0.4 |  24.99 |   1000 | 1675.75 | sans2021n080427.hdf |
| 19 |      89 | 080428 | B      |     0 |     18 |  4.99979e-09 |    18 |     0.4 |  24.97 |   1000 | 1682.2  | sans2021n080428.hdf |
| 20 |      90 | 080429 | C      |     0 |     18 |  4.99926e-09 |    18 |     0.4 |  24.99 |   1000 | 1680.89 | sans2021n080429.hdf |
| 21 |      91 | 080430 | D      |     0 |     18 |  4.99819e-09 |    18 |     0.4 |  24.98 |   1000 | 1679.55 | sans2021n080430.hdf |
| 22 |      92 | 080431 | E      |     0 |     18 |  5.0023e-09  |    18 |     0.4 |  25    |   1000 | 1669.8  | sans2021n080431.hdf |
| 23 |      93 | 080432 | F      |     0 |     18 |  5.00105e-09 |    18 |     0.4 |  25.01 |   1000 | 1670.02 | sans2021n080432.hdf |
| 24 |      94 | 080433 | G      |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  25.02 |   1000 | 1672.28 | sans2021n080433.hdf |
| 25 |      95 | 080434 | H      |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  25.01 |   1000 | 1690.62 | sans2021n080434.hdf |
| 26 |      96 | 080435 | I      |     0 |     18 |  4.99872e-09 |    18 |     0.4 |  25    |   1000 | 1744.46 | sans2021n080435.hdf |
+----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
