# == pyFAI calibration ==
# Distance Sample to Detector: 17.99987109375 m
# PONI: 4.691e-01, 8.478e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17999.871 mm
# Center: x=113.045, y=62.551 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_18p0\integration/integ_080410_EB_18p0m.dat
#       q_nm^-1              I           sigma 
  3.442948e-03    1.000011e-04   2.211334e-11
  3.974745e-03    7.509363e-02   4.164262e-02
  4.506543e-03    5.094337e-02   2.859866e-02
  5.038341e-03    1.764254e-02   1.738816e-02
  5.570139e-03    2.866942e-02   1.991124e-02
  6.101937e-03    6.766322e-02   2.917707e-02
  6.633734e-03    1.000042e-04   2.169125e-11
  7.165532e-03    1.121055e-02   1.104893e-02
  7.697330e-03    1.000057e-04   2.403192e-11
  8.229128e-03    3.418970e-02   1.934389e-02
  8.760926e-03    2.448959e-02   1.703505e-02
  9.292723e-03    1.051649e-02   1.036249e-02
  9.824521e-03    1.000092e-04   2.924712e-11
  1.035632e-02    1.000102e-04   3.095336e-11
  1.088812e-02    1.030422e-02   1.015261e-02
  1.141991e-02    1.000124e-04   3.215669e-11
  1.195171e-02    1.000136e-04   3.499990e-11
  1.248351e-02    1.990295e-02   1.386448e-02
  1.301531e-02    1.000161e-04   3.630470e-11
  1.354711e-02    1.000175e-04   3.523214e-11
  1.407890e-02    1.749286e-02   1.219230e-02
  1.461070e-02    2.469271e-02   1.402436e-02
  1.514250e-02    8.297712e-03   8.164934e-03
  1.567430e-02    8.231190e-03   8.099011e-03
  1.620609e-02    8.165745e-03   8.034145e-03
  1.673789e-02    7.454188e-03   7.328032e-03
  1.726969e-02    1.000283e-04   4.210515e-11
  1.780149e-02    1.418737e-02   9.892324e-03
  1.833329e-02    7.454585e-03   7.328644e-03
  1.886508e-02    2.065287e-02   1.174565e-02
  1.939688e-02    1.000357e-04   4.653708e-11
  1.992868e-02    6.813308e-03   6.691950e-03
  2.046048e-02    1.000398e-04   4.809811e-11
  2.099227e-02    1.309119e-02   9.128188e-03
  2.152407e-02    1.237416e-02   8.627602e-03
  2.205587e-02    1.000462e-04   4.939100e-11
  2.258767e-02    1.000485e-04   5.067052e-11
  2.311947e-02    6.090519e-03   5.973999e-03
