# == pyFAI calibration ==
# Distance Sample to Detector: 17.99987109375 m
# PONI: 4.691e-01, 8.478e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17999.871 mm
# Center: x=113.045, y=62.551 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_18p0\integration/integ_080411_Cd_18p0m.dat
#       q_nm^-1              I           sigma 
  3.442948e-03    4.555053e-02   4.440580e-02
  3.974745e-03    2.509788e-02   2.468363e-02
  4.506543e-03    1.704779e-02   1.680373e-02
  5.038341e-03    7.027013e-02   3.383204e-02
  5.570139e-03    4.295413e-02   2.420621e-02
  6.101937e-03    4.063793e-02   2.292566e-02
  6.633734e-03    1.000042e-04   2.169125e-11
  7.165532e-03    2.232109e-02   1.553752e-02
  7.697330e-03    3.807304e-02   2.150403e-02
  8.229128e-03    1.000064e-04   2.667922e-11
  8.760926e-03    2.448959e-02   1.703505e-02
  9.292723e-03    4.176593e-02   2.039517e-02
  9.824521e-03    1.133587e-02   1.117310e-02
  1.035632e-02    5.273170e-02   2.291097e-02
  1.088812e-02    3.071265e-02   1.740258e-02
  1.141991e-02    4.176768e-02   2.039645e-02
  1.195171e-02    4.555619e-02   1.986258e-02
  1.248351e-02    3.970589e-02   1.940827e-02
  1.301531e-02    3.518988e-02   1.723577e-02
  1.354711e-02    5.565972e-02   2.204501e-02
  1.407890e-02    5.227854e-02   2.074060e-02
  1.461070e-02    2.469271e-02   1.402434e-02
  1.514250e-02    2.469309e-02   1.402471e-02
  1.567430e-02    1.636236e-02   1.140665e-02
  1.620609e-02    4.042863e-02   1.767033e-02
  1.673789e-02    7.454188e-03   7.328043e-03
  1.726969e-02    3.798576e-02   1.662138e-02
  1.780149e-02    2.123104e-02   1.207226e-02
  1.833329e-02    3.687280e-02   1.614272e-02
  1.886508e-02    6.950979e-03   6.828565e-03
  1.939688e-02    2.713402e-02   1.333544e-02
  1.992868e-02    3.366639e-02   1.476012e-02
  2.046048e-02    2.558533e-02   1.258181e-02
  2.099227e-02    1.958677e-02   1.114290e-02
  2.152407e-02    2.464827e-02   1.212525e-02
  2.205587e-02    2.480035e-02   1.219954e-02
  2.258767e-02    5.306220e-02   1.909466e-02
  2.311947e-02    4.203333e-02   1.551748e-02
  2.365126e-02    2.336591e-02   1.149994e-02
  2.418306e-02    2.270922e-02   1.117922e-02
  2.471486e-02    2.804644e-02   1.232581e-02
  2.524666e-02    3.775404e-02   1.590446e-02
  2.577845e-02    3.363743e-02   1.346439e-02
  2.631025e-02    4.651769e-02   1.511438e-02
  2.684205e-02    3.136834e-02   1.256850e-02
  2.737385e-02    4.115083e-02   1.421790e-02
  2.790565e-02    2.996993e-02   1.201539e-02
  2.843744e-02    4.628477e-02   1.504123e-02
  2.896924e-02    4.844293e-02   1.491948e-02
  2.950104e-02    1.934483e-02   9.533335e-03
  3.003284e-02    3.733755e-02   1.292372e-02
  3.056464e-02    3.768836e-02   1.304331e-02
  3.109643e-02    2.326719e-02   1.024472e-02
  3.162823e-02    2.295055e-02   1.010650e-02
  3.216003e-02    3.521878e-02   1.220257e-02
  3.269183e-02    1.907481e-02   9.401750e-03
  3.322362e-02    3.678410e-02   1.361595e-02
  3.375542e-02    3.428000e-02   1.270320e-02
  3.428722e-02    2.954181e-02   1.297891e-02
  3.481902e-02    6.796868e-02   2.054969e-02
  3.535082e-02    5.015455e-02   1.725904e-02
  3.588261e-02    6.204540e-03   6.089546e-03
  3.641441e-02    3.764366e-02   1.504642e-02
  3.694621e-02    3.281900e-02   1.440060e-02
  3.747801e-02    1.223632e-02   8.535178e-03
  3.800980e-02    4.015109e-02   1.603138e-02
  3.854160e-02    3.198907e-02   1.404209e-02
  3.907340e-02    4.097163e-02   1.635352e-02
  3.960520e-02    2.545183e-02   1.252369e-02
  4.013700e-02    5.423228e-02   2.094605e-02
  4.066879e-02    4.746846e-02   2.410516e-02
  4.120059e-02    6.776920e-03   6.659853e-03
  4.173239e-02    6.965333e-02   2.340594e-02
  4.226419e-02    7.917436e-02   2.382727e-02
  4.279598e-02    4.333719e-02   2.006713e-02
  4.332778e-02    3.241260e-02   1.422824e-02
  4.385958e-02    7.204648e-03   7.085674e-03
  4.439138e-02    4.879753e-02   1.796972e-02
  4.492318e-02    4.243055e-02   1.692854e-02
  4.545497e-02    1.401498e-02   9.780275e-03
  4.598677e-02    1.401562e-02   9.780899e-03
  4.651857e-02    7.939249e-02   2.513095e-02
  4.705037e-02    3.395173e-02   1.489661e-02
  4.758216e-02    1.472872e-02   1.027918e-02
  4.811396e-02    2.873166e-02   1.412531e-02
  4.864576e-02    5.777786e-02   1.981888e-02
  4.917756e-02    4.128718e-02   1.913634e-02
  4.970936e-02    7.310665e-03   7.192884e-03
  5.024115e-02    2.204841e-02   1.254740e-02
  5.077295e-02    2.958112e-02   1.453979e-02
  5.130475e-02    4.157895e-02   1.660022e-02
  5.183655e-02    6.275377e-02   2.024710e-02
  5.236834e-02    4.465622e-02   1.780435e-02
  5.290014e-02    3.616365e-02   1.585631e-02
  5.343194e-02    4.337866e-02   1.730626e-02
  5.396374e-02    1.452720e-02   1.014163e-02
  5.449554e-02    1.484625e-02   1.036468e-02
  5.502733e-02    7.016028e-03   6.901764e-03
  5.555913e-02    6.087841e-02   2.085757e-02
  5.609093e-02    1.495799e-02   1.044349e-02
  5.662273e-02    2.143970e-02   1.220718e-02
  5.715452e-02    1.442904e-02   1.007486e-02
  5.768632e-02    1.518406e-02   1.060219e-02
  5.821812e-02    3.004515e-02   1.818343e-02
  5.874992e-02    4.864148e-02   1.936325e-02
  5.928172e-02    4.880252e-02   2.536271e-02
  5.981351e-02    3.430395e-02   1.944092e-02
  6.034531e-02    2.650470e-02   1.845530e-02
  6.087711e-02    4.133705e-02   2.335485e-02
  6.140891e-02    1.553866e-02   1.534673e-02
  6.194070e-02    1.003652e-04   2.304971e-10
  6.247250e-02    1.003716e-04   2.690071e-10
  6.300430e-02    1.003782e-04   2.914673e-10
  6.353610e-02    1.003845e-04   2.920005e-10
  6.406790e-02    3.595058e-02   3.527267e-02
  6.459969e-02    3.356280e-02   3.296525e-02
  6.513149e-02    1.004043e-04   4.099532e-10
  6.566329e-02    1.435370e-01   1.385010e-01
  6.619509e-02    3.347894e-01   1.581017e-01
  6.672689e-02    1.004239e-04   1.047836e-09
