# == pyFAI calibration ==
# Distance Sample to Detector: 17.99987109375 m
# PONI: 4.691e-01, 8.478e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17999.871 mm
# Center: x=113.045, y=62.551 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_18p0\integration/integ_080419_P_18p0m.dat
#       q_nm^-1              I           sigma 
  3.442948e-03    1.785021e+02   1.633407e+01
  3.974745e-03    1.314770e+02   1.178016e+01
  4.506543e-03    7.683201e+01   3.825600e+00
  5.038341e-03    4.947489e+01   2.067139e+00
  5.570139e-03    3.680109e+01   1.255995e+00
  6.101937e-03    2.954159e+01   9.468041e-01
  6.633734e-03    2.302566e+01   6.200255e-01
  7.165532e-03    1.943429e+01   4.974490e-01
  7.697330e-03    1.659587e+01   5.705163e-01
  8.229128e-03    1.358042e+01   4.884779e-01
  8.760926e-03    1.209844e+01   4.562214e-01
  9.292723e-03    1.128218e+01   3.556486e-01
  9.824521e-03    9.933498e+00   3.901850e-01
  1.035632e-02    9.485179e+00   2.966046e-01
  1.088812e-02    8.623422e+00   3.321248e-01
  1.141991e-02    8.573979e+00   2.897596e-01
  1.195171e-02    8.010180e+00   2.524757e-01
  1.248351e-02    6.783184e+00   2.817122e-01
  1.301531e-02    6.658967e+00   2.554526e-01
  1.354711e-02    6.519656e+00   2.584927e-01
  1.407890e-02    6.157681e+00   2.303243e-01
  1.461070e-02    6.042209e+00   2.179810e-01
  1.514250e-02    5.722559e+00   2.216154e-01
  1.567430e-02    5.480955e+00   1.929234e-01
  1.620609e-02    4.678586e+00   1.893890e-01
  1.673789e-02    4.854232e+00   1.933713e-01
  1.726969e-02    4.577055e+00   1.751779e-01
  1.780149e-02    4.529535e+00   1.828267e-01
  1.833329e-02    4.494081e+00   1.951877e-01
  1.886508e-02    4.364489e+00   1.627100e-01
  1.939688e-02    4.305593e+00   1.785193e-01
  1.992868e-02    4.162646e+00   1.897128e-01
  2.046048e-02    4.039827e+00   1.651842e-01
  2.099227e-02    4.190066e+00   1.590964e-01
  2.152407e-02    3.891284e+00   1.447577e-01
  2.205587e-02    4.001853e+00   1.400445e-01
  2.258767e-02    3.825387e+00   1.508522e-01
  2.311947e-02    3.660544e+00   1.474644e-01
  2.365126e-02    3.525134e+00   1.486762e-01
  2.418306e-02    3.708277e+00   1.374292e-01
  2.471486e-02    3.845809e+00   1.579147e-01
  2.524666e-02    3.582818e+00   1.356336e-01
  2.577845e-02    3.689483e+00   1.432744e-01
  2.631025e-02    3.522936e+00   1.317919e-01
  2.684205e-02    3.314771e+00   1.232952e-01
  2.737385e-02    3.448610e+00   1.319052e-01
  2.790565e-02    3.385590e+00   1.374424e-01
  2.843744e-02    3.438540e+00   1.358307e-01
  2.896924e-02    3.384341e+00   1.267588e-01
  2.950104e-02    3.435533e+00   1.222568e-01
  3.003284e-02    3.267917e+00   1.297233e-01
  3.056464e-02    3.153035e+00   1.205155e-01
  3.109643e-02    3.169580e+00   1.194611e-01
  3.162823e-02    3.341072e+00   1.227836e-01
  3.216003e-02    3.235637e+00   1.166003e-01
  3.269183e-02    3.164354e+00   1.240040e-01
  3.322362e-02    2.929779e+00   1.310928e-01
  3.375542e-02    3.174168e+00   1.237049e-01
  3.428722e-02    3.244802e+00   1.292412e-01
  3.481902e-02    2.958214e+00   1.287626e-01
  3.535082e-02    3.084917e+00   1.360181e-01
  3.588261e-02    2.948735e+00   1.420204e-01
  3.641441e-02    3.003789e+00   1.394567e-01
  3.694621e-02    3.174051e+00   1.454892e-01
  3.747801e-02    3.113250e+00   1.512141e-01
  3.800980e-02    3.211076e+00   1.402235e-01
  3.854160e-02    2.965973e+00   1.443961e-01
  3.907340e-02    3.031609e+00   1.493475e-01
  3.960520e-02    3.270698e+00   1.575422e-01
  4.013700e-02    2.821891e+00   1.436732e-01
  4.066879e-02    2.734031e+00   1.386638e-01
  4.120059e-02    2.944749e+00   1.437125e-01
  4.173239e-02    2.865857e+00   1.498329e-01
  4.226419e-02    2.754677e+00   1.362131e-01
  4.279598e-02    3.127742e+00   1.507713e-01
  4.332778e-02    2.947192e+00   1.348380e-01
  4.385958e-02    2.792340e+00   1.374619e-01
  4.439138e-02    3.123905e+00   1.508123e-01
  4.492318e-02    3.005760e+00   1.405415e-01
  4.545497e-02    2.651037e+00   1.192068e-01
  4.598677e-02    3.040831e+00   1.488739e-01
  4.651857e-02    2.797115e+00   1.393630e-01
  4.705037e-02    2.972464e+00   1.423130e-01
  4.758216e-02    2.977204e+00   1.385311e-01
  4.811396e-02    2.884913e+00   1.531894e-01
  4.864576e-02    2.848128e+00   1.611709e-01
  4.917756e-02    2.670518e+00   1.426119e-01
  4.970936e-02    3.071953e+00   1.572506e-01
  5.024115e-02    2.692586e+00   1.449457e-01
  5.077295e-02    2.683034e+00   1.360322e-01
  5.130475e-02    2.786271e+00   1.511776e-01
  5.183655e-02    3.007674e+00   1.586588e-01
  5.236834e-02    2.940993e+00   1.457982e-01
  5.290014e-02    2.654537e+00   1.465612e-01
  5.343194e-02    2.611398e+00   1.391794e-01
  5.396374e-02    2.705324e+00   1.414364e-01
  5.449554e-02    2.536568e+00   1.274435e-01
  5.502733e-02    2.828829e+00   1.471477e-01
  5.555913e-02    2.340202e+00   1.401675e-01
  5.609093e-02    2.340332e+00   1.318479e-01
  5.662273e-02    2.738838e+00   1.431609e-01
  5.715452e-02    2.658250e+00   1.427764e-01
  5.768632e-02    2.639928e+00   1.568264e-01
  5.821812e-02    2.627865e+00   1.429870e-01
  5.874992e-02    2.548674e+00   1.517894e-01
  5.928172e-02    2.484017e+00   1.426358e-01
  5.981351e-02    2.747968e+00   1.553462e-01
  6.034531e-02    2.640705e+00   1.933414e-01
  6.087711e-02    2.543190e+00   1.796397e-01
  6.140891e-02    2.377744e+00   1.914072e-01
  6.194070e-02    2.575421e+00   2.480938e-01
  6.247250e-02    2.760228e+00   2.350570e-01
  6.300430e-02    2.897285e+00   2.549611e-01
  6.353610e-02    2.179790e+00   2.553650e-01
  6.406790e-02    2.653190e+00   2.745935e-01
  6.459969e-02    2.509944e+00   2.989774e-01
  6.513149e-02    2.642217e+00   3.529092e-01
  6.566329e-02    2.223385e+00   4.333485e-01
  6.619509e-02    2.343080e+00   6.123821e-01
  6.672689e-02    1.405955e+00   4.589593e-01
