# == pyFAI calibration ==
# Distance Sample to Detector: 17.99987109375 m
# PONI: 4.691e-01, 8.478e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17999.871 mm
# Center: x=113.045, y=62.551 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_18p0\integration/integ_080435_I_18p0m.dat
#       q_nm^-1              I           sigma 
  3.442948e-03    9.536474e+01   7.056422e+00
  3.974745e-03    5.995090e+01   4.228409e+00
  4.506543e-03    3.430575e+01   1.669560e+00
  5.038341e-03    2.279003e+01   7.927058e-01
  5.570139e-03    1.745766e+01   6.262202e-01
  6.101937e-03    1.337885e+01   4.212030e-01
  6.633734e-03    1.156839e+01   4.049704e-01
  7.165532e-03    1.067830e+01   3.373446e-01
  7.697330e-03    9.266347e+00   3.506916e-01
  8.229128e-03    8.773293e+00   3.280954e-01
  8.760926e-03    8.659168e+00   3.433341e-01
  9.292723e-03    7.917317e+00   2.625928e-01
  9.824521e-03    7.775996e+00   2.810515e-01
  1.035632e-02    6.621729e+00   2.518707e-01
  1.088812e-02    6.857917e+00   2.495737e-01
  1.141991e-02    5.771550e+00   2.625319e-01
  1.195171e-02    6.282672e+00   2.186545e-01
  1.248351e-02    5.783036e+00   2.534922e-01
  1.301531e-02    5.702673e+00   2.219433e-01
  1.354711e-02    5.639875e+00   2.311554e-01
  1.407890e-02    5.200979e+00   2.156004e-01
  1.461070e-02    5.058404e+00   2.210137e-01
  1.514250e-02    5.156863e+00   1.988321e-01
  1.567430e-02    5.163807e+00   1.753302e-01
  1.620609e-02    4.597921e+00   1.922439e-01
  1.673789e-02    4.685071e+00   2.016374e-01
  1.726969e-02    4.971106e+00   1.883918e-01
  1.780149e-02    4.691554e+00   1.788437e-01
  1.833329e-02    4.751517e+00   2.128932e-01
  1.886508e-02    4.809846e+00   1.834482e-01
  1.939688e-02    4.467814e+00   1.840053e-01
  1.992868e-02    4.719901e+00   1.693725e-01
  2.046048e-02    4.498607e+00   1.753787e-01
  2.099227e-02    4.755238e+00   1.712486e-01
  2.152407e-02    4.468226e+00   1.606222e-01
  2.205587e-02    4.322986e+00   1.566733e-01
  2.258767e-02    4.666971e+00   1.763914e-01
  2.311947e-02    4.505283e+00   1.634286e-01
  2.365126e-02    4.548930e+00   1.551096e-01
  2.418306e-02    4.358355e+00   1.591872e-01
  2.471486e-02    4.315354e+00   1.309498e-01
  2.524666e-02    4.023944e+00   1.453838e-01
  2.577845e-02    4.382657e+00   1.408179e-01
  2.631025e-02    4.255378e+00   1.666055e-01
  2.684205e-02    4.414482e+00   1.694643e-01
  2.737385e-02    4.187597e+00   1.611484e-01
  2.790565e-02    4.311647e+00   1.493257e-01
  2.843744e-02    4.249420e+00   1.475719e-01
  2.896924e-02    4.452823e+00   1.447146e-01
  2.950104e-02    4.219834e+00   1.377801e-01
  3.003284e-02    3.933603e+00   1.346513e-01
  3.056464e-02    4.153920e+00   1.345524e-01
  3.109643e-02    4.138058e+00   1.341326e-01
  3.162823e-02    4.131776e+00   1.356813e-01
  3.216003e-02    4.025883e+00   1.360159e-01
  3.269183e-02    4.193830e+00   1.464846e-01
  3.322362e-02    4.072332e+00   1.449536e-01
  3.375542e-02    3.784585e+00   1.370786e-01
  3.428722e-02    3.845470e+00   1.566390e-01
  3.481902e-02    3.931084e+00   1.395544e-01
