# == pyFAI calibration ==
# Distance Sample to Detector: 1.60031005859375 m
# PONI: 4.761e-01, 4.508e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1600.310 mm
# Center: x=60.110, y=63.480 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_1p6\integration/integ_080329_mask_1p6m.dat
#       q_nm^-1              I           sigma 
  3.746326e-02    1.463537e+00   2.803967e-01
  4.135425e-02    1.567270e+01   6.566915e+00
  4.524525e-02    3.578364e+01   6.906126e+00
  4.913625e-02    6.185602e+01   7.039545e+00
  5.302725e-02    6.189513e+01   6.352645e+00
  5.691825e-02    5.812729e+01   4.258161e+00
  6.080925e-02    5.449820e+01   2.444056e+00
  6.470025e-02    4.841325e+01   1.322115e+00
  6.859125e-02    3.950312e+01   1.015064e+00
  7.248225e-02    3.562250e+01   9.740590e-01
  7.637325e-02    2.962786e+01   8.828815e-01
  8.026425e-02    2.561166e+01   7.843649e-01
  8.415525e-02    2.260958e+01   7.711148e-01
  8.804625e-02    2.027803e+01   6.492838e-01
  9.193724e-02    1.903927e+01   6.125565e-01
  9.582824e-02    1.741174e+01   5.487497e-01
  9.971924e-02    1.603793e+01   5.657647e-01
  1.036102e-01    1.446053e+01   4.329945e-01
  1.075012e-01    1.446257e+01   4.105411e-01
  1.113922e-01    1.328549e+01   4.603257e-01
  1.152832e-01    1.354467e+01   3.680488e-01
  1.191742e-01    1.230480e+01   3.755234e-01
  1.230652e-01    1.259437e+01   3.981533e-01
  1.269562e-01    1.106752e+01   3.328466e-01
  1.308472e-01    1.110678e+01   3.108955e-01
  1.347382e-01    1.109870e+01   3.117602e-01
  1.386292e-01    1.102506e+01   3.624526e-01
  1.425202e-01    1.079762e+01   3.029923e-01
  1.464112e-01    1.041281e+01   3.211212e-01
  1.503022e-01    1.037201e+01   3.283381e-01
  1.541932e-01    9.953689e+00   2.918976e-01
  1.580842e-01    9.262648e+00   3.151656e-01
  1.619752e-01    9.712088e+00   3.295299e-01
  1.658662e-01    9.869458e+00   2.858005e-01
  1.697572e-01    9.182908e+00   3.138024e-01
  1.736482e-01    9.072810e+00   2.564754e-01
  1.775392e-01    9.258422e+00   2.752785e-01
  1.814302e-01    9.030921e+00   2.850036e-01
  1.853212e-01    8.846054e+00   2.652435e-01
  1.892122e-01    8.678118e+00   2.543687e-01
  1.931032e-01    8.999693e+00   2.689379e-01
  1.969942e-01    8.250995e+00   2.728176e-01
  2.008852e-01    8.487714e+00   2.466445e-01
  2.047762e-01    8.546661e+00   2.743680e-01
  2.086672e-01    8.436313e+00   2.514288e-01
  2.125582e-01    8.367500e+00   2.379273e-01
  2.164492e-01    8.870634e+00   2.317945e-01
  2.203402e-01    7.889365e+00   2.298472e-01
  2.242312e-01    8.324782e+00   2.387120e-01
  2.281222e-01    7.795826e+00   2.411669e-01
  2.320132e-01    8.203568e+00   2.281807e-01
  2.359042e-01    8.006777e+00   2.182913e-01
  2.397952e-01    8.337486e+00   2.442927e-01
  2.436862e-01    7.727345e+00   2.091621e-01
  2.475772e-01    8.140532e+00   2.342896e-01
  2.514682e-01    7.679470e+00   2.289133e-01
  2.553592e-01    7.775267e+00   2.264250e-01
  2.592502e-01    7.760401e+00   2.225329e-01
  2.631412e-01    7.320248e+00   2.214504e-01
  2.670322e-01    7.865786e+00   2.104384e-01
  2.709232e-01    7.388536e+00   2.045732e-01
  2.748142e-01    7.406428e+00   2.088368e-01
  2.787052e-01    7.668274e+00   2.145079e-01
  2.825962e-01    7.428505e+00   2.176645e-01
  2.864872e-01    7.244734e+00   2.170433e-01
  2.903782e-01    7.288260e+00   2.006367e-01
  2.942692e-01    7.369627e+00   2.127893e-01
  2.981602e-01    7.028961e+00   1.955498e-01
  3.020512e-01    7.122924e+00   1.908503e-01
  3.059422e-01    7.045758e+00   2.174144e-01
  3.098332e-01    7.407120e+00   1.852545e-01
  3.137242e-01    7.048768e+00   1.771291e-01
  3.176152e-01    7.131986e+00   1.989948e-01
  3.215062e-01    6.886430e+00   1.910633e-01
  3.253972e-01    6.969898e+00   1.891736e-01
  3.292882e-01    7.076914e+00   1.889191e-01
  3.331792e-01    7.258146e+00   1.997767e-01
  3.370702e-01    6.841011e+00   1.949216e-01
  3.409612e-01    6.835055e+00   1.859399e-01
  3.448522e-01    7.191491e+00   1.972297e-01
  3.487432e-01    7.083700e+00   1.928530e-01
  3.526342e-01    7.032198e+00   1.959042e-01
  3.565252e-01    6.738468e+00   1.862898e-01
  3.604162e-01    6.969167e+00   2.024178e-01
  3.643072e-01    6.596367e+00   1.935425e-01
  3.681982e-01    6.501407e+00   2.069528e-01
  3.720892e-01    6.831855e+00   2.121184e-01
  3.759802e-01    6.570055e+00   2.397505e-01
  3.798712e-01    6.601038e+00   2.182745e-01
  3.837622e-01    6.701402e+00   2.247309e-01
  3.876532e-01    6.163620e+00   2.367766e-01
  3.915442e-01    6.419064e+00   2.286728e-01
  3.954352e-01    6.251317e+00   2.363963e-01
  3.993262e-01    6.467956e+00   2.683623e-01
  4.032172e-01    6.204786e+00   2.612862e-01
  4.071082e-01    6.148006e+00   2.854217e-01
  4.109992e-01    5.725299e+00   2.522132e-01
  4.148902e-01    6.360932e+00   2.747462e-01
  4.187812e-01    5.715324e+00   2.546686e-01
  4.226722e-01    6.518321e+00   3.204013e-01
  4.265632e-01    5.734908e+00   2.801495e-01
  4.304542e-01    6.021736e+00   3.261377e-01
  4.343452e-01    5.769072e+00   3.168743e-01
  4.382362e-01    5.576102e+00   3.751209e-01
  4.421272e-01    5.612603e+00   3.035165e-01
  4.460182e-01    5.936865e+00   3.779261e-01
  4.499092e-01    5.692786e+00   4.464137e-01
  4.538002e-01    5.616520e+00   4.510562e-01
  4.576912e-01    6.197089e+00   4.651799e-01
  4.615822e-01    5.047437e+00   4.462928e-01
  4.654732e-01    5.812367e+00   4.469431e-01
  4.693642e-01    5.307330e+00   4.370866e-01
  4.732552e-01    5.546880e+00   6.315837e-01
  4.771462e-01    5.961950e+00   5.332175e-01
  4.810372e-01    5.619250e+00   9.810562e-01
  4.849282e-01    5.531357e+00   9.689603e-01
  4.888192e-01    6.099237e+00   1.017148e+00
  4.927102e-01    4.234262e+00   1.031062e+00
  4.966012e-01    3.642099e+00   1.142057e+00
  5.004922e-01    4.390376e+00   4.936676e-01
