# == pyFAI calibration ==
# Distance Sample to Detector: 1.60031005859375 m
# PONI: 4.761e-01, 4.508e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1600.310 mm
# Center: x=60.110, y=63.480 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.999969899654389e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_1p6\integration/integ_080343_H2O_1p6m.dat
#       q_nm^-1              I           sigma 
  3.746326e-02    2.075901e+02   9.617403e+00
  4.135425e-02    3.933488e+02   7.578625e+01
  4.524525e-02    9.384260e+02   1.565620e+02
  4.913625e-02    1.690330e+03   1.812748e+02
  5.302725e-02    2.099529e+03   1.862862e+02
  5.691825e-02    2.593197e+03   1.559500e+02
  6.080925e-02    2.934486e+03   8.350227e+01
  6.470025e-02    3.105843e+03   4.751583e+01
  6.859125e-02    3.141348e+03   3.042065e+01
  7.248225e-02    3.137199e+03   2.662761e+01
  7.637325e-02    3.159865e+03   2.770888e+01
  8.026425e-02    3.156820e+03   2.193149e+01
  8.415525e-02    3.160308e+03   2.471124e+01
  8.804625e-02    3.159083e+03   2.159213e+01
  9.193724e-02    3.165787e+03   2.664314e+01
  9.582824e-02    3.103500e+03   2.198215e+01
  9.971924e-02    3.137206e+03   2.292702e+01
  1.036102e-01    3.140763e+03   2.316798e+01
  1.075012e-01    3.171469e+03   1.982520e+01
  1.113922e-01    3.106149e+03   2.145470e+01
  1.152832e-01    3.134769e+03   2.394777e+01
  1.191742e-01    3.168982e+03   2.009729e+01
  1.230652e-01    3.147216e+03   1.992908e+01
  1.269562e-01    3.194120e+03   2.590912e+01
  1.308472e-01    3.163938e+03   2.263599e+01
  1.347382e-01    3.151387e+03   2.211767e+01
  1.386292e-01    3.166293e+03   2.276089e+01
  1.425202e-01    3.150255e+03   2.217752e+01
  1.464112e-01    3.146199e+03   1.872191e+01
  1.503022e-01    3.159703e+03   2.007163e+01
  1.541932e-01    3.158166e+03   1.848479e+01
  1.580842e-01    3.174886e+03   2.128423e+01
  1.619752e-01    3.132571e+03   2.190814e+01
  1.658662e-01    3.141244e+03   1.964732e+01
  1.697572e-01    3.150136e+03   1.848594e+01
  1.736482e-01    3.121133e+03   1.950193e+01
  1.775392e-01    3.118134e+03   1.945205e+01
  1.814302e-01    3.142001e+03   1.735765e+01
  1.853212e-01    3.148303e+03   1.901572e+01
  1.892122e-01    3.097514e+03   1.853337e+01
  1.931032e-01    3.127706e+03   1.717192e+01
