# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080349_G_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    5.308608e+00   3.829352e-01
  1.487312e-02    4.000844e+00   4.810820e-01
  1.635425e-02    4.091957e+00   4.524159e-01
  1.783537e-02    5.178034e+00   4.212443e-01
  1.931650e-02    4.176468e+00   2.805251e-01
  2.079763e-02    4.446259e+00   2.804798e-01
  2.227876e-02    4.683048e+00   3.538616e-01
  2.375988e-02    4.502404e+00   2.937771e-01
  2.524101e-02    4.257466e+00   2.800930e-01
  2.672214e-02    4.409760e+00   2.715889e-01
  2.820327e-02    3.802868e+00   2.550181e-01
  2.968439e-02    3.790050e+00   2.522814e-01
  3.116552e-02    4.392095e+00   2.553592e-01
  3.264665e-02    3.746199e+00   2.127759e-01
  3.412778e-02    4.241514e+00   2.436402e-01
  3.560890e-02    4.138307e+00   2.472599e-01
  3.709003e-02    4.131969e+00   1.875756e-01
  3.857116e-02    4.143332e+00   2.348479e-01
  4.005229e-02    4.477385e+00   2.414214e-01
  4.153341e-02    4.376718e+00   1.929043e-01
  4.301454e-02    4.630348e+00   2.280820e-01
  4.449567e-02    4.050156e+00   2.051622e-01
  4.597679e-02    3.905784e+00   2.023742e-01
  4.745792e-02    4.200887e+00   2.209345e-01
  4.893905e-02    3.999734e+00   2.069439e-01
  5.042018e-02    3.855445e+00   2.108827e-01
  5.190130e-02    4.172810e+00   1.907949e-01
  5.338243e-02    4.237529e+00   1.856479e-01
  5.486356e-02    3.897079e+00   1.908875e-01
  5.634469e-02    4.150694e+00   1.533651e-01
  5.782581e-02    3.742280e+00   1.813122e-01
  5.930694e-02    3.901049e+00   1.659062e-01
  6.078807e-02    4.084616e+00   1.829038e-01
  6.226920e-02    4.329343e+00   1.917298e-01
  6.375032e-02    4.127836e+00   1.547983e-01
  6.523145e-02    4.413476e+00   1.916672e-01
  6.671258e-02    4.105159e+00   1.617498e-01
  6.819370e-02    4.164344e+00   2.077061e-01
  6.967483e-02    4.005171e+00   1.671089e-01
  7.115596e-02    3.932189e+00   1.616992e-01
  7.263709e-02    3.791104e+00   1.637974e-01
  7.411821e-02    4.207794e+00   1.749838e-01
  7.559934e-02    4.114870e+00   1.539081e-01
  7.708047e-02    4.046732e+00   1.565364e-01
  7.856160e-02    3.950814e+00   1.459999e-01
  8.004272e-02    4.203684e+00   1.721967e-01
  8.152385e-02    4.150392e+00   1.672954e-01
  8.300498e-02    4.178955e+00   1.502033e-01
  8.448611e-02    4.032673e+00   1.628134e-01
  8.596723e-02    4.307941e+00   1.508704e-01
  8.744836e-02    4.180813e+00   1.504084e-01
  8.892949e-02    4.250584e+00   1.445210e-01
  9.041061e-02    4.067760e+00   1.337241e-01
  9.189174e-02    3.873611e+00   1.392018e-01
  9.337287e-02    4.074450e+00   1.493331e-01
  9.485400e-02    3.917986e+00   1.272893e-01
  9.633512e-02    3.870640e+00   1.309714e-01
  9.781625e-02    4.012981e+00   1.480608e-01
  9.929738e-02    3.717383e+00   1.201310e-01
  1.007785e-01    4.321903e+00   1.566108e-01
  1.022596e-01    3.822917e+00   1.386873e-01
  1.037408e-01    3.908973e+00   1.398291e-01
  1.052219e-01    3.843817e+00   1.420789e-01
  1.067030e-01    4.082755e+00   1.345034e-01
  1.081841e-01    3.704893e+00   1.271099e-01
  1.096653e-01    3.975974e+00   1.393266e-01
  1.111464e-01    4.060200e+00   1.379789e-01
  1.126275e-01    4.032169e+00   1.254442e-01
  1.141087e-01    3.932234e+00   1.235833e-01
  1.155898e-01    3.643632e+00   1.192473e-01
