# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080350_A_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    7.232016e+00   1.500517e+00
  1.487312e-02    6.096535e+00   1.837332e+00
  1.635425e-02    3.212948e+00   5.905607e-01
  1.783537e-02    2.559617e+00   4.485594e-01
  1.931650e-02    2.000719e+00   3.063473e-01
  2.079763e-02    1.511752e+00   2.147112e-01
  2.227876e-02    1.426224e+00   1.557148e-01
  2.375988e-02    1.346904e+00   1.740311e-01
  2.524101e-02    9.810222e-01   1.455158e-01
  2.672214e-02    7.802392e-01   1.248280e-01
  2.820327e-02    7.005814e-01   1.163146e-01
  2.968439e-02    9.024335e-01   1.153714e-01
  3.116552e-02    6.125569e-01   9.201919e-02
  3.264665e-02    7.280575e-01   1.063138e-01
  3.412778e-02    4.742671e-01   7.331322e-02
  3.560890e-02    5.340372e-01   9.507310e-02
  3.709003e-02    5.830967e-01   8.897109e-02
  3.857116e-02    3.881126e-01   6.506958e-02
  4.005229e-02    4.478056e-01   7.732879e-02
  4.153341e-02    4.899899e-01   6.803214e-02
  4.301454e-02    3.451210e-01   6.134025e-02
  4.449567e-02    4.157387e-01   6.294667e-02
  4.597679e-02    3.477046e-01   5.807712e-02
  4.745792e-02    4.150918e-01   6.247905e-02
  4.893905e-02    3.466529e-01   5.945864e-02
  5.042018e-02    4.338038e-01   6.791113e-02
  5.190130e-02    3.432893e-01   5.499955e-02
  5.338243e-02    3.314025e-01   5.620340e-02
  5.486356e-02    2.727858e-01   5.611025e-02
  5.634469e-02    2.365626e-01   4.333701e-02
  5.782581e-02    3.751700e-01   6.110715e-02
  5.930694e-02    2.771181e-01   4.548379e-02
  6.078807e-02    2.587944e-01   4.191808e-02
  6.226920e-02    2.547450e-01   4.462717e-02
  6.375032e-02    2.997392e-01   5.310355e-02
  6.523145e-02    3.323456e-01   4.621538e-02
  6.671258e-02    2.172117e-01   3.538267e-02
  6.819370e-02    2.346891e-01   3.924074e-02
  6.967483e-02    2.728531e-01   4.103171e-02
  7.115596e-02    2.144415e-01   3.626563e-02
  7.263709e-02    2.417952e-01   4.174540e-02
  7.411821e-02    3.029332e-01   4.606204e-02
  7.559934e-02    2.048944e-01   3.535393e-02
  7.708047e-02    2.951489e-01   4.123126e-02
  7.856160e-02    1.212791e-01   2.548597e-02
  8.004272e-02    1.793330e-01   3.148660e-02
  8.152385e-02    2.204030e-01   3.725293e-02
  8.300498e-02    1.923489e-01   3.283688e-02
  8.448611e-02    2.232113e-01   3.535025e-02
  8.596723e-02    2.070866e-01   3.339903e-02
  8.744836e-02    1.354767e-01   2.642459e-02
  8.892949e-02    1.785034e-01   2.978458e-02
  9.041061e-02    2.350590e-01   3.496904e-02
  9.189174e-02    2.098805e-01   3.186212e-02
  9.337287e-02    1.955734e-01   3.039861e-02
  9.485400e-02    1.988910e-01   3.037710e-02
  9.633512e-02    1.998573e-01   3.095331e-02
  9.781625e-02    1.698476e-01   2.917772e-02
  9.929738e-02    1.747941e-01   3.298372e-02
  1.007785e-01    1.793774e-01   2.893442e-02
  1.022596e-01    1.905655e-01   3.048229e-02
  1.037408e-01    2.078062e-01   3.319841e-02
  1.052219e-01    1.579893e-01   2.625987e-02
  1.067030e-01    2.005159e-01   2.800766e-02
  1.081841e-01    1.233027e-01   2.318991e-02
  1.096653e-01    1.489676e-01   2.605045e-02
  1.111464e-01    1.637000e-01   2.733986e-02
  1.126275e-01    1.598971e-01   2.433177e-02
  1.141087e-01    1.471268e-01   2.602778e-02
  1.155898e-01    1.372789e-01   2.275057e-02
  1.170709e-01    1.812927e-01   2.559509e-02
  1.185520e-01    1.409548e-01   2.262599e-02
  1.200332e-01    1.092706e-01   2.185187e-02
  1.215143e-01    1.625089e-01   2.598472e-02
  1.229954e-01    1.704880e-01   2.453113e-02
  1.244765e-01    1.244390e-01   2.183489e-02
  1.259577e-01    1.394322e-01   2.413167e-02
  1.274388e-01    1.414969e-01   2.380928e-02
  1.289199e-01    1.536594e-01   2.417445e-02
  1.304011e-01    1.601035e-01   2.728576e-02
  1.318822e-01    1.155225e-01   2.148933e-02
  1.333633e-01    1.555354e-01   2.674153e-02
  1.348444e-01    1.433245e-01   2.943703e-02
  1.363256e-01    1.236149e-01   2.440125e-02
  1.378067e-01    1.551508e-01   2.923864e-02
  1.392878e-01    9.220495e-02   2.150164e-02
  1.407689e-01    1.670505e-01   3.400985e-02
  1.422501e-01    1.236609e-01   2.759841e-02
  1.437312e-01    3.364704e-02   1.489841e-02
  1.452123e-01    1.078695e-01   3.028508e-02
  1.466935e-01    1.036426e-01   2.853080e-02
  1.481746e-01    9.582420e-02   2.658198e-02
  1.496557e-01    1.223291e-01   3.339873e-02
  1.511368e-01    1.398498e-01   3.726584e-02
  1.526180e-01    1.314128e-01   3.574161e-02
  1.540991e-01    1.126090e-01   3.551915e-02
  1.555802e-01    9.504085e-02   3.049101e-02
  1.570613e-01    2.285082e-02   1.609414e-02
  1.585425e-01    1.605097e-01   4.496343e-02
  1.600236e-01    9.088860e-02   3.315903e-02
  1.615047e-01    5.405287e-02   2.658523e-02
  1.629859e-01    1.072467e-01   3.881058e-02
  1.644670e-01    6.324083e-02   3.097794e-02
  1.659481e-01    1.621783e-01   5.647138e-02
  1.674292e-01    1.912013e-02   1.909182e-02
  1.689104e-01    4.119991e-02   2.886160e-02
  1.703915e-01    7.018778e-02   3.960368e-02
  1.718726e-01    1.029430e-01   4.946971e-02
  1.733537e-01    1.470875e-01   6.173177e-02
  1.748349e-01    1.993387e-01   7.410965e-02
  1.763160e-01    3.971414e-02   3.941765e-02
  1.777971e-01    1.345027e-01   7.344884e-02
  1.792783e-01    5.165001e-02   5.101967e-02
  1.807594e-01    3.224365e-01   1.213926e-01
  1.822405e-01    1.032088e-04   4.309701e-09
  1.837216e-01    8.614592e-02   8.370651e-02
  1.852028e-01    1.148819e-01   1.099852e-01
  1.866839e-01    1.033727e-04   7.370855e-09
  1.881650e-01    1.034328e-04   1.122491e-08
  1.896461e-01    1.035016e-04   1.410226e-08
