# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080352_C_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    5.077798e+00   1.586090e+00
  1.487312e-02    5.620244e+00   1.631378e+00
  1.635425e-02    2.849218e+00   3.268353e-01
  1.783537e-02    2.206563e+00   3.217378e-01
  1.931650e-02    2.125762e+00   3.147837e-01
  2.079763e-02    1.289443e+00   1.652666e-01
  2.227876e-02    1.192080e+00   1.611327e-01
  2.375988e-02    1.577785e+00   2.061128e-01
  2.524101e-02    1.059499e+00   1.371260e-01
  2.672214e-02    5.767135e-01   8.718058e-02
  2.820327e-02    6.005043e-01   9.199201e-02
  2.968439e-02    7.219566e-01   1.067007e-01
  3.116552e-02    5.527990e-01   7.987759e-02
  3.264665e-02    6.218915e-01   9.540129e-02
  3.412778e-02    4.742697e-01   8.224646e-02
  3.560890e-02    3.204568e-01   6.586792e-02
  3.709003e-02    4.817012e-01   7.579802e-02
  3.857116e-02    3.755974e-01   7.383794e-02
  4.005229e-02    4.242380e-01   6.747863e-02
  4.153341e-02    2.613761e-01   5.941712e-02
  4.301454e-02    4.119048e-01   7.860367e-02
  4.449567e-02    4.050836e-01   6.800385e-02
  4.597679e-02    3.068115e-01   5.862670e-02
  4.745792e-02    3.543602e-01   5.607495e-02
  4.893905e-02    3.934853e-01   6.185612e-02
  5.042018e-02    4.434414e-01   6.661250e-02
  5.190130e-02    3.794130e-01   5.433831e-02
  5.338243e-02    3.575549e-01   5.119151e-02
  5.486356e-02    3.167647e-01   5.032055e-02
  5.634469e-02    3.425643e-01   5.142682e-02
  5.782581e-02    3.402813e-01   5.780266e-02
  5.930694e-02    2.995801e-01   4.978032e-02
  6.078807e-02    3.058326e-01   5.035679e-02
  6.226920e-02    2.098083e-01   4.254458e-02
  6.375032e-02    2.847554e-01   5.047353e-02
  6.523145e-02    2.962360e-01   5.264391e-02
  6.671258e-02    3.257711e-01   4.633115e-02
  6.819370e-02    1.833717e-01   3.321497e-02
  6.967483e-02    2.462426e-01   3.884199e-02
  7.115596e-02    3.149159e-01   4.467625e-02
  7.263709e-02    2.417933e-01   3.871243e-02
  7.411821e-02    2.449437e-01   4.123576e-02
  7.559934e-02    2.110996e-01   3.457092e-02
  7.708047e-02    2.228912e-01   3.562328e-02
  7.856160e-02    2.485201e-01   4.160439e-02
  8.004272e-02    1.908969e-01   3.318369e-02
  8.152385e-02    2.561273e-01   3.780427e-02
  8.300498e-02    2.658560e-01   3.788168e-02
  8.448611e-02    1.960035e-01   3.496143e-02
  8.596723e-02    2.686224e-01   3.603435e-02
  8.744836e-02    1.625518e-01   2.832414e-02
  8.892949e-02    2.047405e-01   3.375736e-02
  9.041061e-02    2.037310e-01   3.193529e-02
  9.189174e-02    1.894133e-01   2.908297e-02
  9.337287e-02    1.749970e-01   2.834020e-02
  9.485400e-02    1.940415e-01   2.852066e-02
  9.633512e-02    2.597862e-01   3.706947e-02
  9.781625e-02    1.839930e-01   3.065773e-02
  9.929738e-02    1.796447e-01   2.942209e-02
  1.007785e-01    1.935306e-01   2.965999e-02
  1.022596e-01    2.038522e-01   2.840553e-02
  1.037408e-01    2.125249e-01   2.983493e-02
  1.052219e-01    1.985908e-01   3.186083e-02
  1.067030e-01    2.092317e-01   3.221101e-02
  1.081841e-01    1.530408e-01   2.511244e-02
  1.096653e-01    2.365370e-01   3.335657e-02
  1.111464e-01    1.464784e-01   2.490809e-02
  1.126275e-01    1.680926e-01   2.613402e-02
  1.141087e-01    2.017353e-01   2.817702e-02
  1.155898e-01    2.099034e-01   2.848862e-02
  1.170709e-01    1.977663e-01   2.890669e-02
  1.185520e-01    1.683440e-01   2.608609e-02
  1.200332e-01    1.755512e-01   2.580593e-02
  1.215143e-01    9.516929e-02   2.024288e-02
  1.229954e-01    2.021886e-01   2.731513e-02
  1.244765e-01    1.685594e-01   2.588131e-02
  1.259577e-01    1.633165e-01   2.420209e-02
  1.274388e-01    1.629208e-01   2.587457e-02
  1.289199e-01    1.575972e-01   2.503692e-02
  1.304011e-01    1.903733e-01   2.817228e-02
  1.318822e-01    1.599155e-01   2.545560e-02
  1.333633e-01    1.200076e-01   2.362175e-02
  1.348444e-01    1.630775e-01   2.805363e-02
  1.363256e-01    1.384365e-01   2.551072e-02
  1.378067e-01    1.448132e-01   2.555978e-02
  1.392878e-01    1.680556e-01   2.989478e-02
  1.407689e-01    1.267515e-01   2.803049e-02
  1.422501e-01    1.051265e-01   2.435737e-02
  1.437312e-01    1.611189e-01   3.193114e-02
  1.452123e-01    1.725276e-01   3.240780e-02
  1.466935e-01    1.628083e-01   3.382417e-02
  1.481746e-01    1.835726e-01   4.178344e-02
  1.496557e-01    1.921752e-01   4.657893e-02
  1.511368e-01    2.271909e-01   4.345647e-02
  1.526180e-01    1.314138e-01   4.046279e-02
  1.540991e-01    1.637490e-01   4.319971e-02
  1.555802e-01    1.372378e-01   4.168332e-02
  1.570613e-01    1.365941e-01   4.052689e-02
  1.585425e-01    1.111528e-01   3.537313e-02
  1.600236e-01    5.198026e-02   2.558359e-02
  1.615047e-01    1.214922e-01   4.304469e-02
  1.629859e-01    1.378594e-01   4.326742e-02
  1.644670e-01    9.480994e-02   3.731365e-02
  1.659481e-01    1.801847e-01   5.239327e-02
  1.674292e-01    7.617238e-02   3.709067e-02
  1.689104e-01    1.028477e-01   5.310675e-02
  1.703915e-01    7.018778e-02   3.960482e-02
  1.718726e-01    1.286556e-01   6.583927e-02
  1.733537e-01    2.058813e-01   7.056877e-02
  1.748349e-01    9.972414e-02   7.312077e-02
  1.763160e-01    1.189364e-01   6.548898e-02
  1.777971e-01    4.490293e-02   4.447496e-02
  1.792783e-01    2.062907e-01   9.362754e-02
  1.807594e-01    1.031570e-04   3.876965e-09
  1.822405e-01    7.381640e-02   7.215700e-02
  1.837216e-01    1.721886e-01   1.128709e-01
  1.852028e-01    1.148819e-01   1.099876e-01
  1.866839e-01    1.033727e-04   7.370855e-09
  1.881650e-01    1.034328e-04   1.122491e-08
  1.896461e-01    1.035016e-04   1.410226e-08
