# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080355_F_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    5.616361e+00   1.517713e+00
  1.487312e-02    5.906009e+00   1.863088e+00
  1.635425e-02    2.637046e+00   4.017494e-01
  1.783537e-02    1.618156e+00   2.202522e-01
  1.931650e-02    1.925690e+00   2.104291e-01
  2.079763e-02    1.156060e+00   1.602027e-01
  2.227876e-02    1.255921e+00   1.105006e-01
  2.375988e-02    1.346900e+00   1.560771e-01
  2.524101e-02    7.652118e-01   1.163921e-01
  2.672214e-02    8.819910e-01   1.152783e-01
  2.820327e-02    8.173211e-01   1.068125e-01
  2.968439e-02    7.219648e-01   1.295107e-01
  3.116552e-02    5.528079e-01   9.750721e-02
  3.264665e-02    5.308968e-01   8.904592e-02
  3.412778e-02    3.162127e-01   6.774069e-02
  3.560890e-02    6.541722e-01   9.348453e-02
  3.709003e-02    4.817038e-01   7.992991e-02
  3.857116e-02    4.381793e-01   6.824711e-02
  4.005229e-02    4.478008e-01   6.976715e-02
  4.153341e-02    3.593569e-01   6.818468e-02
  4.301454e-02    3.896391e-01   6.241043e-02
  4.449567e-02    4.263949e-01   6.126016e-02
  4.597679e-02    3.170371e-01   6.241529e-02
  4.745792e-02    3.644859e-01   6.480946e-02
  4.893905e-02    3.560180e-01   5.818713e-02
  5.042018e-02    3.952503e-01   6.166480e-02
  5.190130e-02    3.342554e-01   5.007648e-02
  5.338243e-02    3.052458e-01   5.263441e-02
  5.486356e-02    3.167638e-01   4.875313e-02
  5.634469e-02    2.854878e-01   5.102532e-02
  5.782581e-02    3.402804e-01   5.780253e-02
  5.930694e-02    2.920933e-01   4.954838e-02
  6.078807e-02    3.058310e-01   4.653722e-02
  6.226920e-02    2.098060e-01   3.687301e-02
  6.375032e-02    3.896272e-01   5.190220e-02
  6.523145e-02    3.323434e-01   4.267955e-02
  6.671258e-02    3.189844e-01   4.304190e-02
  6.819370e-02    4.033031e-01   5.344805e-02
  6.967483e-02    1.930245e-01   3.855355e-02
  7.115596e-02    2.546329e-01   4.370711e-02
  7.263709e-02    1.909112e-01   3.624066e-02
  7.411821e-02    2.707169e-01   4.507867e-02
  7.559934e-02    2.607467e-01   3.790822e-02
  7.708047e-02    2.831062e-01   4.085327e-02
  7.856160e-02    2.545796e-01   4.093386e-02
  8.004272e-02    1.619886e-01   3.149587e-02
  8.152385e-02    2.799459e-01   4.304296e-02
  8.300498e-02    2.545469e-01   3.746955e-02
  8.448611e-02    2.504201e-01   3.725895e-02
  8.596723e-02    2.182749e-01   3.394010e-02
  8.744836e-02    1.842124e-01   3.064061e-02
  8.892949e-02    2.362220e-01   3.349884e-02
  9.041061e-02    2.350595e-01   3.496970e-02
  9.189174e-02    2.712826e-01   4.133492e-02
  9.337287e-02    2.315834e-01   3.528721e-02
  9.485400e-02    2.134369e-01   3.181587e-02
  9.633512e-02    2.697735e-01   3.739079e-02
  9.781625e-02    2.028531e-01   3.009195e-02
  9.929738e-02    2.330216e-01   3.118830e-02
  1.007785e-01    2.926065e-01   3.852492e-02
  1.022596e-01    1.861366e-01   3.027820e-02
  1.037408e-01    2.314074e-01   3.139430e-02
  1.052219e-01    2.346793e-01   3.267917e-02
  1.067030e-01    2.266581e-01   3.169312e-02
  1.081841e-01    1.657862e-01   2.722377e-02
  1.096653e-01    1.839955e-01   2.998460e-02
  1.111464e-01    2.584168e-01   3.589022e-02
  1.126275e-01    1.517021e-01   2.311963e-02
  1.141087e-01    1.681298e-01   2.651909e-02
  1.155898e-01    2.018341e-01   2.814333e-02
  1.170709e-01    2.101206e-01   3.001240e-02
  1.185520e-01    2.270336e-01   3.025818e-02
  1.200332e-01    2.184409e-01   3.139111e-02
  1.215143e-01    1.743927e-01   2.659184e-02
  1.229954e-01    1.903012e-01   2.677328e-02
  1.244765e-01    1.565272e-01   2.710121e-02
  1.259577e-01    1.553568e-01   2.691789e-02
  1.274388e-01    1.800600e-01   2.749809e-02
  1.289199e-01    1.654719e-01   2.546245e-02
  1.304011e-01    1.730765e-01   2.865046e-02
  1.318822e-01    1.732342e-01   2.772339e-02
  1.333633e-01    1.288885e-01   2.253951e-02
  1.348444e-01    2.025875e-01   3.183526e-02
  1.363256e-01    1.680795e-01   2.747723e-02
  1.378067e-01    1.861609e-01   3.103870e-02
  1.392878e-01    1.409665e-01   2.809884e-02
  1.407689e-01    1.497785e-01   2.973556e-02
  1.422501e-01    1.977971e-01   3.517328e-02
  1.437312e-01    1.208648e-01   2.864009e-02
  1.452123e-01    1.653454e-01   3.648436e-02
  1.466935e-01    1.036434e-01   3.042571e-02
  1.481746e-01    1.676174e-01   3.742384e-02
  1.496557e-01    1.572508e-01   3.662945e-02
  1.511368e-01    2.359259e-01   4.568398e-02
  1.526180e-01    1.314128e-01   3.574088e-02
  1.540991e-01    1.944334e-01   4.784267e-02
  1.555802e-01    5.284595e-02   2.323701e-02
  1.570613e-01    9.109613e-02   3.107110e-02
  1.585425e-01    1.605085e-01   4.134841e-02
  1.600236e-01    1.427677e-01   4.445969e-02
  1.615047e-01    2.293956e-01   5.983431e-02
  1.629859e-01    1.837783e-01   4.865255e-02
  1.644670e-01    1.421636e-01   4.452169e-02
  1.659481e-01    1.621783e-01   5.647418e-02
  1.674292e-01    5.715496e-02   3.244030e-02
  1.689104e-01    1.644914e-01   5.399514e-02
  1.703915e-01    4.682612e-02   3.272751e-02
  1.718726e-01    1.543631e-01   5.888192e-02
  1.733537e-01    1.470904e-01   7.476536e-02
  1.748349e-01    9.972082e-02   5.545785e-02
  1.763160e-01    1.585515e-01   9.328655e-02
  1.777971e-01    1.345027e-01   7.345292e-02
  1.792783e-01    1.547438e-01   8.358728e-02
  1.807594e-01    3.869032e-01   1.268014e-01
  1.822405e-01    1.475296e-01   9.804765e-02
  1.837216e-01    1.721886e-01   1.128792e-01
  1.852028e-01    2.296605e-01   1.455013e-01
  1.866839e-01    2.068281e-01   1.329183e-01
  1.881650e-01    1.034328e-04   1.122491e-08
  1.896461e-01    1.035016e-04   1.410226e-08
