# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080366_Q_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    7.155080e+00   1.855747e+00
  1.487312e-02    5.858385e+00   1.832859e+00
  1.635425e-02    3.000772e+00   4.999579e-01
  1.783537e-02    2.824391e+00   4.191816e-01
  1.931650e-02    1.625594e+00   3.293537e-01
  2.079763e-02    1.689595e+00   2.370385e-01
  2.227876e-02    1.383651e+00   2.009792e-01
  2.375988e-02    1.212218e+00   1.523596e-01
  2.524101e-02    9.614025e-01   1.414102e-01
  2.672214e-02    7.293608e-01   1.195571e-01
  2.820327e-02    9.007207e-01   1.369783e-01
  2.968439e-02    7.055544e-01   1.046953e-01
  3.116552e-02    6.872538e-01   1.039935e-01
  3.264665e-02    5.763972e-01   1.007886e-01
  3.412778e-02    6.586741e-01   9.783142e-02
  3.560890e-02    5.340306e-01   7.864130e-02
  3.709003e-02    4.817025e-01   7.579870e-02
  3.857116e-02    3.380446e-01   5.859849e-02
  4.005229e-02    5.538394e-01   8.084385e-02
  4.153341e-02    3.049190e-01   5.499578e-02
  4.301454e-02    3.339904e-01   5.894497e-02
  4.449567e-02    4.157377e-01   6.111162e-02
  4.597679e-02    3.783783e-01   6.555531e-02
  4.745792e-02    4.353361e-01   6.272722e-02
  4.893905e-02    3.934862e-01   6.463585e-02
  5.042018e-02    3.181472e-01   5.503497e-02
  5.190130e-02    3.794166e-01   6.005844e-02
  5.338243e-02    3.837142e-01   5.995829e-02
  5.486356e-02    3.255626e-01   5.500654e-02
  5.634469e-02    2.202550e-01   4.249078e-02
  5.782581e-02    2.181618e-01   4.240923e-02
  5.930694e-02    2.471698e-01   4.299839e-02
  6.078807e-02    3.763851e-01   5.209152e-02
  6.226920e-02    2.996818e-01   4.505749e-02
  6.375032e-02    3.521725e-01   5.118837e-02
  6.523145e-02    2.312271e-01   4.005659e-02
  6.671258e-02    2.850628e-01   4.514254e-02
  6.819370e-02    2.933396e-01   4.779747e-02
  6.967483e-02    2.662020e-01   4.290473e-02
  7.115596e-02    2.948209e-01   4.607781e-02
  7.263709e-02    2.735960e-01   4.291525e-02
  7.411821e-02    2.964882e-01   4.208334e-02
  7.559934e-02    2.173073e-01   3.807542e-02
  7.708047e-02    2.048273e-01   3.472934e-02
  7.856160e-02    2.788165e-01   4.434622e-02
  8.004272e-02    2.140224e-01   3.235806e-02
  8.152385e-02    2.144478e-01   3.396230e-02
  8.300498e-02    2.715120e-01   4.053526e-02
  8.448611e-02    2.395368e-01   3.684594e-02
  8.596723e-02    2.462474e-01   3.776229e-02
  8.744836e-02    2.275342e-01   3.543732e-02
  8.892949e-02    2.099876e-01   3.480470e-02
