# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080371_V_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    5.231671e+00   1.440117e+00
  1.487312e-02    7.239638e+00   2.407178e+00
  1.635425e-02    2.909840e+00   3.843198e-01
  1.783537e-02    2.500767e+00   3.309511e-01
  1.931650e-02    1.825672e+00   3.278269e-01
  2.079763e-02    1.400595e+00   1.762052e-01
  2.227876e-02    8.515036e-01   1.240658e-01
  2.375988e-02    1.481585e+00   1.895299e-01
  2.524101e-02    8.829278e-01   1.291267e-01
  2.672214e-02    5.936775e-01   1.021277e-01
  2.820327e-02    8.006486e-01   1.076124e-01
  2.968439e-02    5.743071e-01   9.698690e-02
  3.116552e-02    5.677485e-01   1.018560e-01
  3.264665e-02    5.915624e-01   9.591127e-02
  3.412778e-02    6.059832e-01   8.351442e-02
  3.560890e-02    4.939851e-01   7.406017e-02
  3.709003e-02    4.690265e-01   7.137115e-02
  3.857116e-02    5.257976e-01   7.510096e-02
  4.005229e-02    4.949277e-01   7.386672e-02
  4.153341e-02    4.137838e-01   6.192570e-02
  4.301454e-02    3.339893e-01   5.894442e-02
  4.449567e-02    3.731087e-01   6.217347e-02
  4.597679e-02    3.681517e-01   5.677398e-02
  4.745792e-02    3.746024e-01   5.472677e-02
  4.893905e-02    3.372849e-01   5.458651e-02
  5.042018e-02    3.374206e-01   5.216122e-02
  5.190130e-02    3.161968e-01   5.571808e-02
  5.338243e-02    1.919033e-01   3.682330e-02
  5.486356e-02    4.223227e-01   6.089702e-02
  5.634469e-02    3.588743e-01   5.673105e-02
  5.782581e-02    3.141107e-01   5.294710e-02
  5.930694e-02    2.097340e-01   3.834971e-02
  6.078807e-02    3.607098e-01   5.634035e-02
  6.226920e-02    2.547450e-01   4.334700e-02
  6.375032e-02    3.297009e-01   5.283412e-02
  6.523145e-02    3.034543e-01   4.537610e-02
  6.671258e-02    3.257704e-01   4.532213e-02
  6.819370e-02    2.200282e-01   3.985849e-02
  6.967483e-02    2.462453e-01   4.317914e-02
  7.115596e-02    2.144409e-01   3.500035e-02
  7.263709e-02    2.545139e-01   3.924119e-02
  7.411821e-02    2.578293e-01   4.072677e-02
  7.559934e-02    2.793661e-01   4.151128e-02
  7.708047e-02    1.867633e-01   3.375328e-02
  7.856160e-02    2.182243e-01   3.655781e-02
  8.004272e-02    2.487140e-01   3.684912e-02
  8.152385e-02    3.216231e-01   4.170210e-02
  8.300498e-02    2.093107e-01   3.174230e-02
  8.448611e-02    1.742364e-01   3.386546e-02
  8.596723e-02    2.070866e-01   3.339932e-02
  8.744836e-02    2.275347e-01   3.626141e-02
  8.892949e-02    2.519655e-01   3.798098e-02
  9.041061e-02    1.671828e-01   3.087450e-02
  9.189174e-02    2.149961e-01   3.041157e-02
  9.337287e-02    2.264384e-01   3.352406e-02
  9.485400e-02    2.037395e-01   3.061097e-02
  9.633512e-02    2.098470e-01   3.448593e-02
  9.781625e-02    1.557017e-01   2.758311e-02
  9.929738e-02    2.039081e-01   3.216221e-02
  1.007785e-01    2.312732e-01   3.207563e-02
  1.022596e-01    1.772774e-01   2.985582e-02
  1.037408e-01    1.794813e-01   2.817182e-02
  1.052219e-01    1.940797e-01   3.166240e-02
  1.067030e-01    1.743749e-01   2.668284e-02
  1.081841e-01    1.487925e-01   2.485627e-02
  1.096653e-01    2.102667e-01   3.236796e-02
  1.111464e-01    2.024489e-01   3.286772e-02
  1.126275e-01    1.885792e-01   2.716664e-02
  1.141087e-01    1.681306e-01   2.846837e-02
  1.155898e-01    1.776272e-01   2.821535e-02
  1.170709e-01    1.648208e-01   2.469508e-02
  1.185520e-01    1.370430e-01   2.372156e-02
  1.200332e-01    9.757322e-02   1.946902e-02
  1.215143e-01    1.506251e-01   2.405378e-02
  1.229954e-01    1.744517e-01   2.660516e-02
  1.244765e-01    1.605373e-01   2.480153e-02
  1.259577e-01    1.672977e-01   2.507515e-02
  1.274388e-01    1.372122e-01   2.352409e-02
  1.289199e-01    1.497233e-01   2.584320e-02
  1.304011e-01    9.523727e-02   2.042059e-02
  1.318822e-01    1.821132e-01   2.889179e-02
  1.333633e-01    1.732996e-01   2.845262e-02
  1.348444e-01    1.433225e-01   2.584526e-02
  1.363256e-01    1.829030e-01   3.166453e-02
  1.378067e-01    1.706555e-01   2.925760e-02
  1.392878e-01    1.897275e-01   3.211142e-02
  1.407689e-01    1.037245e-01   2.736298e-02
  1.422501e-01    1.545517e-01   3.371367e-02
  1.437312e-01    1.611189e-01   3.193133e-02
  1.452123e-01    1.509751e-01   3.236902e-02
  1.466935e-01    1.184333e-01   2.810202e-02
  1.481746e-01    1.596397e-01   3.502027e-02
  1.496557e-01    1.834421e-01   3.869718e-02
  1.511368e-01    1.573163e-01   3.445910e-02
  1.526180e-01    1.032741e-01   2.982590e-02
  1.540991e-01    1.637469e-01   3.792236e-02
  1.555802e-01    8.449212e-02   2.891139e-02
  1.570613e-01    6.834769e-02   2.723379e-02
  1.585425e-01    1.605085e-01   4.134741e-02
  1.600236e-01    1.687053e-01   4.326592e-02
  1.615047e-01    1.619536e-01   4.341174e-02
  1.629859e-01    2.603114e-01   5.940483e-02
  1.644670e-01    2.053066e-01   6.858618e-02
  1.659481e-01    1.441683e-01   4.785097e-02
  1.674292e-01    1.522440e-01   5.721959e-02
  1.689104e-01    1.233963e-01   5.620159e-02
  1.703915e-01    2.337217e-01   7.387434e-02
  1.718726e-01    1.028505e-04   1.819992e-09
  1.733537e-01    8.829365e-02   4.938442e-02
  1.748349e-01    9.972082e-02   5.545894e-02
  1.763160e-01    1.189364e-01   6.549336e-02
  1.777971e-01    2.689023e-01   9.576958e-02
  1.792783e-01    1.031041e-04   3.520928e-09
  1.807594e-01    2.579763e-01   1.464083e-01
  1.822405e-01    1.032088e-04   4.309701e-09
