# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080375_D_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    6.462653e+00   6.761752e-01
  1.487312e-02    5.334459e+00   5.361053e-01
  1.635425e-02    7.456449e+00   5.234740e-01
  1.783537e-02    7.708210e+00   5.922163e-01
  1.931650e-02    7.502638e+00   4.432320e-01
  2.079763e-02    6.669385e+00   3.599179e-01
  2.227876e-02    6.258255e+00   2.895530e-01
  2.375988e-02    6.946016e+00   4.246625e-01
  2.524101e-02    6.651064e+00   2.702735e-01
  2.672214e-02    6.495916e+00   3.231402e-01
  2.820327e-02    7.122036e+00   3.625727e-01
  2.968439e-02    6.710518e+00   2.393816e-01
  3.116552e-02    6.244544e+00   2.640697e-01
  3.264665e-02    6.142550e+00   3.316840e-01
  3.412778e-02    6.309581e+00   2.851335e-01
  3.560890e-02    6.154056e+00   2.656022e-01
  3.709003e-02    6.033180e+00   2.974242e-01
  3.857116e-02    6.258810e+00   3.055487e-01
  4.005229e-02    6.421511e+00   3.200247e-01
  4.153341e-02    6.292893e+00   2.855286e-01
  4.301454e-02    6.667253e+00   2.884277e-01
  4.449567e-02    6.512223e+00   2.559280e-01
  4.597679e-02    6.625516e+00   2.385572e-01
  4.745792e-02    6.488594e+00   2.540834e-01
  4.893905e-02    5.948076e+00   2.603146e-01
  5.042018e-02    5.840996e+00   2.791673e-01
  5.190130e-02    5.961154e+00   2.287310e-01
  5.338243e-02    6.103435e+00   2.408803e-01
  5.486356e-02    6.175504e+00   2.336051e-01
  5.634469e-02    5.781616e+00   2.292783e-01
  5.782581e-02    5.565441e+00   2.325574e-01
  5.930694e-02    6.207231e+00   2.304754e-01
  6.078807e-02    6.036763e+00   2.313818e-01
  6.226920e-02    5.909776e+00   2.235304e-01
  6.375032e-02    6.412753e+00   2.146535e-01
  6.523145e-02    6.089297e+00   2.365872e-01
  6.671258e-02    6.066134e+00   2.108757e-01
  6.819370e-02    5.879930e+00   2.069230e-01
  6.967483e-02    6.087590e+00   2.216166e-01
  7.115596e-02    5.961920e+00   1.783358e-01
  7.263709e-02    5.794786e+00   2.032910e-01
  7.411821e-02    5.754299e+00   1.984093e-01
  7.559934e-02    6.001626e+00   2.001959e-01
  7.708047e-02    5.775024e+00   1.997357e-01
  7.856160e-02    5.356625e+00   1.770173e-01
  8.004272e-02    5.724409e+00   1.741128e-01
  8.152385e-02    5.603325e+00   1.769442e-01
  8.300498e-02    5.660530e+00   1.815232e-01
  8.448611e-02    5.578255e+00   1.716399e-01
  8.596723e-02    5.650674e+00   1.826796e-01
  8.744836e-02    5.772986e+00   1.791661e-01
  8.892949e-02    5.756650e+00   1.766956e-01
  9.041061e-02    5.461971e+00   1.755121e-01
  9.189174e-02    5.577588e+00   1.543909e-01
  9.337287e-02    5.777278e+00   1.761447e-01
  9.485400e-02    5.498753e+00   1.591120e-01
  9.633512e-02    5.738534e+00   1.635840e-01
  9.781625e-02    5.682304e+00   1.610578e-01
  9.929738e-02    5.668280e+00   1.699708e-01
  1.007785e-01    5.699627e+00   1.568855e-01
  1.022596e-01    5.585975e+00   1.491732e-01
  1.037408e-01    5.835133e+00   1.648768e-01
  1.052219e-01    5.255920e+00   1.613646e-01
  1.067030e-01    5.642652e+00   1.583476e-01
  1.081841e-01    5.523345e+00   1.530374e-01
  1.096653e-01    5.863244e+00   1.560373e-01
  1.111464e-01    5.687722e+00   1.726567e-01
  1.126275e-01    5.511448e+00   1.427542e-01
  1.141087e-01    5.574863e+00   1.498202e-01
  1.155898e-01    5.709565e+00   1.513963e-01
  1.170709e-01    5.790455e+00   1.603409e-01
  1.185520e-01    5.599468e+00   1.475290e-01
  1.200332e-01    5.501840e+00   1.471953e-01
  1.215143e-01    5.672904e+00   1.613497e-01
  1.229954e-01    5.512346e+00   1.641327e-01
  1.244765e-01    5.647877e+00   1.469398e-01
  1.259577e-01    5.418469e+00   1.413148e-01
  1.274388e-01    5.707785e+00   1.691291e-01
  1.289199e-01    5.485292e+00   1.499783e-01
  1.304011e-01    5.565967e+00   1.603480e-01
  1.318822e-01    5.718340e+00   1.671254e-01
  1.333633e-01    5.511740e+00   1.383321e-01
  1.348444e-01    5.442914e+00   1.762097e-01
  1.363256e-01    5.657446e+00   1.827995e-01
  1.378067e-01    5.814878e+00   1.568646e-01
  1.392878e-01    5.651361e+00   1.802682e-01
  1.407689e-01    5.607634e+00   1.872746e-01
  1.422501e-01    5.257933e+00   1.881792e-01
  1.437312e-01    5.602584e+00   1.877910e-01
  1.452123e-01    5.316988e+00   1.952304e-01
  1.466935e-01    5.295853e+00   2.056053e-01
  1.481746e-01    5.560414e+00   2.029313e-01
  1.496557e-01    5.483260e+00   2.248553e-01
  1.511368e-01    5.581658e+00   2.218335e-01
  1.526180e-01    5.553078e+00   2.434438e-01
  1.540991e-01    5.186009e+00   2.526603e-01
  1.555802e-01    5.348738e+00   2.500455e-01
  1.570613e-01    5.232664e+00   2.788325e-01
  1.585425e-01    5.269250e+00   3.110071e-01
  1.600236e-01    5.525537e+00   2.521589e-01
  1.615047e-01    5.382086e+00   2.725676e-01
  1.629859e-01    4.975049e+00   2.918971e-01
  1.644670e-01    4.735842e+00   2.729841e-01
  1.659481e-01    4.736631e+00   3.006921e-01
  1.674292e-01    5.515604e+00   3.515188e-01
  1.689104e-01    6.082987e+00   4.466251e-01
  1.703915e-01    5.256899e+00   3.386897e-01
  1.718726e-01    5.373937e+00   3.488691e-01
  1.733537e-01    5.056778e+00   3.249893e-01
  1.748349e-01    5.180647e+00   5.031644e-01
  1.763160e-01    5.070737e+00   5.115167e-01
  1.777971e-01    4.525240e+00   4.715094e-01
  1.792783e-01    5.103654e+00   4.824510e-01
  1.807594e-01    4.899957e+00   4.856174e-01
  1.822405e-01    5.602763e+00   5.871284e-01
  1.837216e-01    6.711998e+00   9.296709e-01
  1.852028e-01    4.706392e+00   7.213476e-01
  1.866839e-01    3.824789e+00   4.217884e-01
  1.881650e-01    5.378506e+00   9.126641e-01
  1.896461e-01    4.140063e+00   4.958839e-01
