# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080382_K_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.638744e+01   1.357068e+00
  1.487312e-02    1.376481e+01   9.332048e-01
  1.635425e-02    1.682248e+01   9.298698e-01
  1.783537e-02    1.244493e+01   8.209510e-01
  1.931650e-02    1.272948e+01   6.054915e-01
  2.079763e-02    1.220498e+01   5.397434e-01
  2.227876e-02    1.104774e+01   5.215006e-01
  2.375988e-02    9.524316e+00   4.598854e-01
  2.524101e-02    9.574393e+00   4.486079e-01
  2.672214e-02    9.158732e+00   3.882387e-01
  2.820327e-02    8.639846e+00   3.775291e-01
  2.968439e-02    8.170753e+00   3.642043e-01
  3.116552e-02    8.156749e+00   3.650304e-01
  3.264665e-02    7.295226e+00   3.752583e-01
  3.412778e-02    7.824407e+00   3.133905e-01
  3.560890e-02    7.422246e+00   2.808859e-01
  3.709003e-02    7.604848e+00   3.140218e-01
  3.857116e-02    7.485537e+00   3.016594e-01
  4.005229e-02    7.423031e+00   3.290263e-01
  4.153341e-02    6.673950e+00   2.281792e-01
  4.301454e-02    6.945518e+00   2.705075e-01
  4.449567e-02    6.853287e+00   2.597093e-01
  4.597679e-02    6.584620e+00   2.360683e-01
  4.745792e-02    6.134304e+00   2.536467e-01
  4.893905e-02    6.678704e+00   2.430794e-01
  5.042018e-02    6.294010e+00   2.357745e-01
  5.190130e-02    7.035968e+00   2.259020e-01
  5.338243e-02    6.652743e+00   2.573235e-01
  5.486356e-02    6.861671e+00   2.401513e-01
  5.634469e-02    6.450292e+00   2.206778e-01
  5.782581e-02    6.341811e+00   2.156294e-01
  5.930694e-02    6.312057e+00   2.009207e-01
  6.078807e-02    6.146521e+00   2.101531e-01
  6.226920e-02    5.894796e+00   2.247257e-01
  6.375032e-02    5.985735e+00   2.029097e-01
  6.523145e-02    5.829256e+00   1.965930e-01
  6.671258e-02    6.602180e+00   2.169741e-01
  6.819370e-02    6.165862e+00   2.018116e-01
  6.967483e-02    6.333754e+00   2.035772e-01
  7.115596e-02    6.598303e+00   1.981571e-01
  7.263709e-02    6.513568e+00   2.073677e-01
  7.411821e-02    6.102264e+00   2.008190e-01
  7.559934e-02    6.262297e+00   1.928732e-01
  7.708047e-02    5.841265e+00   1.833601e-01
  7.856160e-02    6.053471e+00   1.958895e-01
  8.004272e-02    6.019303e+00   1.878427e-01
  8.152385e-02    5.847466e+00   1.852657e-01
  8.300498e-02    6.327805e+00   1.934267e-01
  8.448611e-02    6.035400e+00   1.810300e-01
  8.596723e-02    5.980762e+00   1.932135e-01
  8.744836e-02    5.507624e+00   1.684360e-01
  8.892949e-02    6.386365e+00   1.951789e-01
  9.041061e-02    5.728282e+00   1.733606e-01
  9.189174e-02    6.058592e+00   1.797411e-01
  9.337287e-02    5.941902e+00   1.914005e-01
  9.485400e-02    5.993350e+00   1.673754e-01
  9.633512e-02    6.188027e+00   1.764625e-01
  9.781625e-02    6.101993e+00   1.677139e-01
  9.929738e-02    5.988577e+00   1.857294e-01
  1.007785e-01    5.860048e+00   1.857941e-01
  1.022596e-01    6.197288e+00   1.650668e-01
  1.037408e-01    6.108950e+00   1.580633e-01
  1.052219e-01    6.049947e+00   1.692707e-01
  1.067030e-01    5.899730e+00   1.559915e-01
  1.081841e-01    5.791015e+00   1.615199e-01
  1.096653e-01    5.872002e+00   1.618294e-01
  1.111464e-01    5.894392e+00   1.753875e-01
  1.126275e-01    5.847463e+00   1.647321e-01
  1.141087e-01    5.747108e+00   1.486582e-01
  1.155898e-01    6.016227e+00   1.588390e-01
  1.170709e-01    5.864586e+00   1.502081e-01
  1.185520e-01    5.626860e+00   1.499006e-01
  1.200332e-01    5.903462e+00   1.567417e-01
  1.215143e-01    5.811557e+00   1.459496e-01
  1.229954e-01    6.055258e+00   1.450030e-01
  1.244765e-01    5.884542e+00   1.648728e-01
  1.259577e-01    5.920105e+00   1.649952e-01
  1.274388e-01    5.609227e+00   1.467680e-01
  1.289199e-01    6.044453e+00   1.484191e-01
  1.304011e-01    5.782205e+00   1.656933e-01
  1.318822e-01    5.669504e+00   1.569939e-01
  1.333633e-01    5.591685e+00   1.619467e-01
  1.348444e-01    5.600967e+00   1.695029e-01
  1.363256e-01    5.835321e+00   1.635376e-01
  1.378067e-01    5.892409e+00   1.825506e-01
  1.392878e-01    5.510483e+00   1.778345e-01
  1.407689e-01    5.711266e+00   1.912035e-01
  1.422501e-01    5.597752e+00   2.010993e-01
  1.437312e-01    5.703230e+00   1.919754e-01
  1.452123e-01    5.712170e+00   1.987712e-01
  1.466935e-01    5.554728e+00   2.134693e-01
  1.481746e-01    5.528504e+00   2.128371e-01
  1.496557e-01    5.596767e+00   2.060566e-01
  1.511368e-01    5.817502e+00   2.076531e-01
  1.526180e-01    5.675020e+00   2.405057e-01
  1.540991e-01    5.482645e+00   2.561342e-01
  1.555802e-01    5.760179e+00   2.344537e-01
  1.570613e-01    5.414670e+00   2.215498e-01
  1.585425e-01    5.590096e+00   2.951714e-01
  1.600236e-01    5.227210e+00   3.037639e-01
  1.615047e-01    5.638376e+00   2.714305e-01
  1.629859e-01    4.883202e+00   2.950382e-01
  1.644670e-01    6.014519e+00   2.982027e-01
  1.659481e-01    5.529072e+00   3.251457e-01
  1.674292e-01    5.021101e+00   3.232931e-01
  1.689104e-01    5.096557e+00   4.268693e-01
  1.703915e-01    5.397083e+00   3.515679e-01
  1.718726e-01    5.271086e+00   3.654673e-01
  1.733537e-01    5.321374e+00   3.876891e-01
  1.748349e-01    5.545953e+00   5.103082e-01
  1.763160e-01    6.140341e+00   4.671023e-01
  1.777971e-01    5.466132e+00   4.190478e-01
  1.792783e-01    5.567622e+00   5.097111e-01
  1.807594e-01    4.448651e+00   5.215632e-01
  1.822405e-01    5.529042e+00   5.146271e-01
  1.837216e-01    5.851485e+00   8.685534e-01
  1.852028e-01    6.198663e+00   7.738670e-01
  1.866839e-01    4.961889e+00   6.939507e-01
  1.881650e-01    7.033431e+00   6.247227e-01
  1.896461e-01    3.450052e+00   1.032963e+00
