# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080384_M_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.346386e+01   1.123554e+00
  1.487312e-02    1.033552e+01   9.021158e-01
  1.635425e-02    1.251835e+01   7.451811e-01
  1.783537e-02    1.032665e+01   5.924922e-01
  1.931650e-02    1.100387e+01   4.811456e-01
  2.079763e-02    1.020416e+01   4.509016e-01
  2.227876e-02    9.578961e+00   4.739422e-01
  2.375988e-02    8.504541e+00   4.324966e-01
  2.524101e-02    8.083300e+00   4.235115e-01
  2.672214e-02    8.208938e+00   4.175094e-01
  2.820327e-02    8.256224e+00   3.464993e-01
  2.968439e-02    7.826203e+00   3.901545e-01
  3.116552e-02    7.185707e+00   3.055224e-01
  3.264665e-02    6.916057e+00   3.322614e-01
  3.412778e-02    7.877097e+00   3.615856e-01
  3.560890e-02    7.248704e+00   2.991785e-01
  3.709003e-02    7.680897e+00   2.805851e-01
  3.857116e-02    7.034903e+00   2.415823e-01
  4.005229e-02    6.574686e+00   2.861498e-01
  4.153341e-02    6.673950e+00   2.838378e-01
  4.301454e-02    6.522554e+00   3.015069e-01
  4.449567e-02    6.576172e+00   2.416608e-01
  4.597679e-02    6.870906e+00   2.585155e-01
  4.745792e-02    6.498716e+00   2.303486e-01
  4.893905e-02    6.191619e+00   2.501614e-01
  5.042018e-02    6.554252e+00   2.530921e-01
  5.190130e-02    6.774038e+00   2.764452e-01
  5.338243e-02    6.862004e+00   2.251835e-01
  5.486356e-02    6.465806e+00   2.454376e-01
  5.634469e-02    6.360591e+00   2.405639e-01
  5.782581e-02    6.516277e+00   2.242449e-01
  5.930694e-02    6.761314e+00   2.262295e-01
  6.078807e-02    6.616919e+00   1.941060e-01
  6.226920e-02    6.456561e+00   2.096930e-01
  6.375032e-02    6.742380e+00   2.447515e-01
  6.523145e-02    6.414348e+00   2.027888e-01
  6.671258e-02    6.133988e+00   1.937986e-01
  6.819370e-02    5.945915e+00   2.167445e-01
  6.967483e-02    6.500082e+00   1.984491e-01
  7.115596e-02    6.283461e+00   2.196939e-01
  7.263709e-02    5.985613e+00   1.774900e-01
  7.411821e-02    6.437340e+00   2.081046e-01
  7.559934e-02    6.374012e+00   1.934583e-01
  7.708047e-02    6.310975e+00   1.916714e-01
  7.856160e-02    6.392804e+00   2.066321e-01
  8.004272e-02    6.250592e+00   1.969485e-01
  8.152385e-02    6.252382e+00   1.945105e-01
  8.300498e-02    6.271256e+00   1.753799e-01
  8.448611e-02    6.187781e+00   1.887750e-01
  8.596723e-02    6.422746e+00   2.040056e-01
  8.744836e-02    6.482424e+00   1.939755e-01
  8.892949e-02    6.207946e+00   1.765943e-01
  9.041061e-02    6.344450e+00   2.003061e-01
  9.189174e-02    6.253039e+00   1.927744e-01
  9.337287e-02    6.255717e+00   1.932735e-01
  9.485400e-02    6.022444e+00   1.693809e-01
  9.633512e-02    6.193021e+00   1.765096e-01
  9.781625e-02    5.922801e+00   1.801475e-01
  9.929738e-02    5.974018e+00   1.777934e-01
  1.007785e-01    6.086523e+00   1.752187e-01
  1.022596e-01    5.767597e+00   1.688764e-01
  1.037408e-01    6.311952e+00   1.638213e-01
  1.052219e-01    5.824372e+00   1.662948e-01
  1.067030e-01    5.856157e+00   1.580801e-01
  1.081841e-01    6.075679e+00   1.725961e-01
  1.096653e-01    5.876380e+00   1.658103e-01
  1.111464e-01    6.135507e+00   1.729147e-01
  1.126275e-01    5.962199e+00   1.530333e-01
  1.141087e-01    5.952962e+00   1.607189e-01
  1.155898e-01    6.242188e+00   1.613209e-01
  1.170709e-01    5.967546e+00   1.537719e-01
  1.185520e-01    5.947723e+00   1.625897e-01
  1.200332e-01    5.774787e+00   1.524128e-01
  1.215143e-01    5.874941e+00   1.651696e-01
  1.229954e-01    5.666897e+00   1.411296e-01
  1.244765e-01    6.004880e+00   1.536263e-01
  1.259577e-01    5.884274e+00   1.517700e-01
  1.274388e-01    5.964892e+00   1.691483e-01
  1.289199e-01    6.044453e+00   1.543490e-01
  1.304011e-01    5.834101e+00   1.587118e-01
  1.318822e-01    6.166750e+00   1.672559e-01
  1.333633e-01    5.804871e+00   1.681584e-01
  1.348444e-01    5.862741e+00   1.831462e-01
  1.363256e-01    6.067549e+00   1.843522e-01
  1.378067e-01    6.047473e+00   1.844932e-01
  1.392878e-01    6.306983e+00   1.809720e-01
  1.407689e-01    5.964588e+00   2.068071e-01
  1.422501e-01    5.461825e+00   1.914635e-01
  1.437312e-01    5.958197e+00   2.155803e-01
  1.452123e-01    5.740910e+00   2.188359e-01
  1.466935e-01    5.968929e+00   2.092014e-01
  1.481746e-01    5.568394e+00   2.302387e-01
  1.496557e-01    6.033332e+00   2.307960e-01
  1.511368e-01    5.800033e+00   2.636781e-01
  1.526180e-01    5.721921e+00   2.580633e-01
  1.540991e-01    5.717908e+00   2.413292e-01
  1.555802e-01    5.717980e+00   2.267701e-01
  1.570613e-01    5.551174e+00   2.084431e-01
  1.585425e-01    5.787536e+00   2.443607e-01
  1.600236e-01    5.499595e+00   2.954579e-01
  1.615047e-01    6.029555e+00   2.778632e-01
  1.629859e-01    6.169061e+00   3.119735e-01
  1.644670e-01    5.967159e+00   3.041605e-01
  1.659481e-01    5.366982e+00   2.632062e-01
  1.674292e-01    6.314415e+00   3.309806e-01
  1.689104e-01    6.165190e+00   3.679616e-01
  1.703915e-01    5.840999e+00   3.510211e-01
  1.718726e-01    4.859684e+00   4.189015e-01
  1.733537e-01    5.938774e+00   4.445081e-01
  1.748349e-01    5.645577e+00   5.346655e-01
  1.763160e-01    5.585734e+00   4.829894e-01
  1.777971e-01    4.973284e+00   3.946839e-01
  1.792783e-01    5.980039e+00   4.774940e-01
  1.807594e-01    5.415748e+00   5.359982e-01
  1.822405e-01    5.381608e+00   5.818210e-01
  1.837216e-01    5.507280e+00   5.438255e-01
  1.852028e-01    3.788072e+00   6.172994e-01
  1.866839e-01    4.755144e+00   4.973066e-01
  1.881650e-01    3.930446e+00   8.626986e-01
  1.896461e-01    4.140063e+00   1.312648e+00
