# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080389_R_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    3.169777e+01   2.501287e+00
  1.487312e-02    2.129021e+01   1.322028e+00
  1.635425e-02    2.424862e+01   1.628569e+00
  1.783537e-02    1.950589e+01   9.788077e-01
  1.931650e-02    1.503028e+01   7.778113e-01
  2.079763e-02    1.342770e+01   5.075246e-01
  2.227876e-02    1.247394e+01   5.493326e-01
  2.375988e-02    1.123677e+01   4.551350e-01
  2.524101e-02    1.067309e+01   4.489630e-01
  2.672214e-02    1.058342e+01   4.185029e-01
  2.820327e-02    9.156902e+00   3.608250e-01
  2.968439e-02    8.745003e+00   4.086359e-01
  3.116552e-02    8.963460e+00   3.871189e-01
  3.264665e-02    8.417569e+00   3.679409e-01
  3.412778e-02    8.706958e+00   3.436972e-01
  3.560890e-02    8.637037e+00   3.690946e-01
  3.709003e-02    7.832994e+00   3.463010e-01
  3.857116e-02    8.299182e+00   2.911912e-01
  4.005229e-02    7.894335e+00   3.112671e-01
  4.153341e-02    7.566714e+00   3.106315e-01
  4.301454e-02    7.669009e+00   2.526498e-01
  4.449567e-02    8.302816e+00   2.821051e-01
  4.597679e-02    7.688871e+00   2.839254e-01
  4.745792e-02    7.652694e+00   2.747134e-01
  4.893905e-02    7.428068e+00   2.899348e-01
  5.042018e-02    7.065098e+00   2.710276e-01
  5.190130e-02    7.632083e+00   2.454038e-01
  5.338243e-02    7.062545e+00   2.525657e-01
  5.486356e-02    7.107988e+00   2.842582e-01
  5.634469e-02    7.045578e+00   2.217020e-01
  5.782581e-02    6.455213e+00   2.334978e-01
  5.930694e-02    7.285447e+00   2.480550e-01
  6.078807e-02    6.954036e+00   2.230177e-01
  6.226920e-02    7.003346e+00   2.163122e-01
  6.375032e-02    7.109465e+00   2.385540e-01
  6.523145e-02    7.353385e+00   2.212524e-01
  6.671258e-02    6.819312e+00   2.024538e-01
  6.819370e-02    6.855032e+00   2.304643e-01
  6.967483e-02    6.965799e+00   2.021914e-01
  7.115596e-02    6.826062e+00   2.440208e-01
  7.263709e-02    6.825253e+00   2.234727e-01
  7.411821e-02    6.327797e+00   2.162492e-01
  7.559934e-02    7.255327e+00   2.078504e-01
  7.708047e-02    6.672290e+00   2.152695e-01
  7.856160e-02    6.501876e+00   1.987327e-01
  8.004272e-02    6.684259e+00   1.980349e-01
  8.152385e-02    6.746618e+00   1.982291e-01
  8.300498e-02    6.876328e+00   2.033716e-01
  8.448611e-02    7.063975e+00   2.032202e-01
  8.596723e-02    6.422746e+00   1.887577e-01
  8.744836e-02    6.937332e+00   1.804873e-01
  8.892949e-02    6.591023e+00   1.965011e-01
  9.041061e-02    6.657756e+00   1.733917e-01
  9.189174e-02    6.554945e+00   1.834626e-01
  9.337287e-02    6.744444e+00   1.874017e-01
  9.485400e-02    6.638265e+00   1.977260e-01
  9.633512e-02    6.417768e+00   1.832637e-01
  9.781625e-02    6.950802e+00   1.967629e-01
  9.929738e-02    6.600052e+00   1.976741e-01
  1.007785e-01    6.813131e+00   1.780509e-01
  1.022596e-01    6.644698e+00   1.774967e-01
  1.037408e-01    6.751002e+00   1.956731e-01
  1.052219e-01    6.717652e+00   1.836149e-01
  1.067030e-01    6.400815e+00   1.799591e-01
  1.081841e-01    6.611019e+00   1.668545e-01
  1.096653e-01    6.397460e+00   1.693446e-01
  1.111464e-01    6.467039e+00   1.752854e-01
  1.126275e-01    6.154792e+00   1.669664e-01
  1.141087e-01    6.755373e+00   1.637815e-01
  1.155898e-01    6.770777e+00   1.700753e-01
  1.170709e-01    6.663554e+00   1.731191e-01
  1.185520e-01    6.421193e+00   1.621167e-01
  1.200332e-01    6.578032e+00   1.666156e-01
  1.215143e-01    6.481054e+00   1.788998e-01
  1.229954e-01    6.538728e+00   1.505802e-01
  1.244765e-01    6.554425e+00   1.616797e-01
  1.259577e-01    6.469516e+00   1.600369e-01
  1.274388e-01    6.440540e+00   1.693202e-01
  1.289199e-01    6.292531e+00   1.493711e-01
  1.304011e-01    6.387671e+00   1.672653e-01
