# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080392_U_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.615663e+01   1.418104e+00
  1.487312e-02    1.257408e+01   1.091578e+00
  1.635425e-02    1.370047e+01   7.419097e-01
  1.783537e-02    1.176826e+01   7.896243e-01
  1.931650e-02    1.105389e+01   7.377413e-01
  2.079763e-02    1.038201e+01   5.131505e-01
  2.227876e-02    1.085616e+01   4.526415e-01
  2.375988e-02    9.158736e+00   4.289573e-01
  2.524101e-02    9.888309e+00   3.911793e-01
  2.672214e-02    8.073253e+00   3.136402e-01
  2.820327e-02    8.256224e+00   3.881874e-01
  2.968439e-02    8.449675e+00   3.710566e-01
  3.116552e-02    8.231445e+00   3.768186e-01
  3.264665e-02    7.674396e+00   3.163619e-01
  3.412778e-02    7.350201e+00   2.659233e-01
  3.560890e-02    7.355499e+00   3.169349e-01
  3.709003e-02    6.996460e+00   3.114391e-01
  3.857116e-02    7.110008e+00   3.045758e-01
  4.005229e-02    7.081336e+00   2.935038e-01
  4.153341e-02    7.381629e+00   3.100086e-01
  4.301454e-02    6.834212e+00   2.860214e-01
  4.449567e-02    6.629463e+00   2.587368e-01
  4.597679e-02    6.993602e+00   2.851024e-01
  4.745792e-02    6.346879e+00   2.811927e-01
  4.893905e-02    6.650603e+00   2.593387e-01
  5.042018e-02    7.026544e+00   2.821755e-01
  5.190130e-02    6.746942e+00   2.433230e-01
  5.338243e-02    6.757374e+00   2.435580e-01
  5.486356e-02    6.641747e+00   2.209015e-01
  5.634469e-02    6.654157e+00   2.095782e-01
  5.782581e-02    6.594785e+00   2.574318e-01
  5.930694e-02    6.708902e+00   2.458902e-01
