# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080395_B_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    3.185164e+02   2.028387e+01
  1.487312e-02    2.782968e+02   1.748764e+01
  1.635425e-02    3.482707e+02   1.180097e+01
  1.783537e-02    3.301585e+02   1.223877e+01
  1.931650e-02    3.276402e+02   6.643306e+00
  2.079763e-02    3.402498e+02   5.401433e+00
  2.227876e-02    3.389249e+02   3.540581e+00
  2.375988e-02    3.222105e+02   3.728716e+00
  2.524101e-02    3.224883e+02   3.776971e+00
  2.672214e-02    3.211493e+02   2.970536e+00
  2.820327e-02    3.182566e+02   3.143925e+00
  2.968439e-02    3.186266e+02   2.766006e+00
  3.116552e-02    3.161860e+02   2.790702e+00
  3.264665e-02    3.068393e+02   2.816346e+00
  3.412778e-02    3.168226e+02   3.102066e+00
  3.560890e-02    3.138168e+02   3.013504e+00
  3.709003e-02    3.103792e+02   2.798079e+00
  3.857116e-02    3.156068e+02   2.929882e+00
  4.005229e-02    3.185894e+02   2.959813e+00
  4.153341e-02    3.125216e+02   2.604339e+00
  4.301454e-02    3.090088e+02   2.617200e+00
  4.449567e-02    3.093252e+02   2.834508e+00
  4.597679e-02    3.219715e+02   2.513056e+00
  4.745792e-02    3.080918e+02   2.420715e+00
  4.893905e-02    3.024619e+02   2.644675e+00
  5.042018e-02    3.128402e+02   2.543381e+00
  5.190130e-02    3.059698e+02   2.432448e+00
  5.338243e-02    3.100719e+02   2.574776e+00
  5.486356e-02    3.123292e+02   2.482803e+00
  5.634469e-02    3.069230e+02   2.432307e+00
  5.782581e-02    3.038486e+02   2.622091e+00
  5.930694e-02    3.065578e+02   2.186188e+00
  6.078807e-02    3.047702e+02   2.385047e+00
  6.226920e-02    3.031213e+02   2.120816e+00
  6.375032e-02    3.028677e+02   2.162117e+00
  6.523145e-02    3.013732e+02   2.105313e+00
  6.671258e-02    3.032728e+02   2.291373e+00
  6.819370e-02    3.012914e+02   1.965379e+00
  6.967483e-02    3.029357e+02   2.355213e+00
  7.115596e-02    2.998175e+02   2.192013e+00
  7.263709e-02    3.036506e+02   2.113194e+00
  7.411821e-02    3.028965e+02   2.032037e+00
  7.559934e-02    3.028866e+02   2.060499e+00
