# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080398_E_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    4.323822e+02   2.794872e+01
  1.487312e-02    3.756031e+02   2.268859e+01
  1.635425e-02    4.632092e+02   1.568479e+01
  1.783537e-02    4.439282e+02   1.537461e+01
  1.931650e-02    4.308515e+02   9.862761e+00
  2.079763e-02    4.448925e+02   6.085542e+00
  2.227876e-02    4.404406e+02   5.091421e+00
  2.375988e-02    4.313842e+02   4.280024e+00
  2.524101e-02    4.276301e+02   4.638879e+00
  2.672214e-02    4.122278e+02   3.307757e+00
  2.820327e-02    4.139954e+02   3.971690e+00
  2.968439e-02    4.052398e+02   3.501902e+00
  3.116552e-02    4.064630e+02   3.917518e+00
  3.264665e-02    4.003123e+02   3.049898e+00
  3.412778e-02    4.045640e+02   3.310994e+00
  3.560890e-02    3.979579e+02   2.823399e+00
  3.709003e-02    3.962253e+02   3.143159e+00
  3.857116e-02    3.969963e+02   3.027327e+00
  4.005229e-02    4.034241e+02   3.810769e+00
  4.153341e-02    3.957446e+02   3.043736e+00
  4.301454e-02    3.884926e+02   3.216655e+00
  4.449567e-02    3.917458e+02   2.981510e+00
  4.597679e-02    3.992692e+02   3.250507e+00
  4.745792e-02    3.944883e+02   3.381360e+00
  4.893905e-02    3.837773e+02   3.121628e+00
  5.042018e-02    3.940166e+02   3.478677e+00
  5.190130e-02    3.900311e+02   2.897325e+00
  5.338243e-02    3.890678e+02   2.585573e+00
  5.486356e-02    3.908426e+02   2.664771e+00
  5.634469e-02    3.808037e+02   2.512367e+00
  5.782581e-02    3.867196e+02   3.056641e+00
  5.930694e-02    3.847435e+02   2.531586e+00
  6.078807e-02    3.815233e+02   2.698814e+00
  6.226920e-02    3.828846e+02   2.477262e+00
  6.375032e-02    3.827424e+02   2.847386e+00
  6.523145e-02    3.827589e+02   2.698803e+00
  6.671258e-02    3.814201e+02   2.618309e+00
  6.819370e-02    3.831632e+02   2.531371e+00
  6.967483e-02    3.824603e+02   2.490779e+00
  7.115596e-02    3.791714e+02   2.302959e+00
  7.263709e-02    3.855282e+02   2.717123e+00
  7.411821e-02    3.794615e+02   2.509606e+00
  7.559934e-02    3.801568e+02   2.381135e+00
  7.708047e-02    3.786645e+02   2.391832e+00
  7.856160e-02    3.743032e+02   2.273380e+00
  8.004272e-02    3.786494e+02   2.265239e+00
  8.152385e-02    3.750774e+02   2.503540e+00
  8.300498e-02    3.781132e+02   2.363217e+00
  8.448611e-02    3.788751e+02   2.303963e+00
  8.596723e-02    3.803015e+02   2.268070e+00
  8.744836e-02    3.766846e+02   2.280189e+00
  8.892949e-02    3.764702e+02   2.247459e+00
  9.041061e-02    3.729492e+02   2.283687e+00
  9.189174e-02    3.762364e+02   2.307838e+00
  9.337287e-02    3.713406e+02   2.248579e+00
  9.485400e-02    3.735515e+02   2.398406e+00
  9.633512e-02    3.730446e+02   2.176200e+00
  9.781625e-02    3.696138e+02   2.233041e+00
  9.929738e-02    3.694816e+02   2.238566e+00
  1.007785e-01    3.713817e+02   2.422216e+00
  1.022596e-01    3.682890e+02   2.083883e+00
  1.037408e-01    3.671412e+02   2.112200e+00
  1.052219e-01    3.688122e+02   2.078259e+00
  1.067030e-01    3.671209e+02   2.134861e+00
  1.081841e-01    3.678548e+02   2.135756e+00
  1.096653e-01    3.636393e+02   2.021893e+00
  1.111464e-01    3.688236e+02   2.104313e+00
  1.126275e-01    3.651201e+02   2.018871e+00
  1.141087e-01    3.655547e+02   2.073681e+00
  1.155898e-01    3.653919e+02   2.167724e+00
  1.170709e-01    3.665078e+02   1.891981e+00
  1.185520e-01    3.677297e+02   1.932946e+00
  1.200332e-01    3.641703e+02   1.953446e+00
  1.215143e-01    3.597460e+02   1.909222e+00
  1.229954e-01    3.606405e+02   1.955650e+00
  1.244765e-01    3.640795e+02   1.903365e+00
  1.259577e-01    3.612379e+02   1.923154e+00
  1.274388e-01    3.591319e+02   1.900240e+00
  1.289199e-01    3.593279e+02   2.047157e+00
  1.304011e-01    3.631544e+02   2.123072e+00
  1.318822e-01    3.601933e+02   2.134248e+00
  1.333633e-01    3.619139e+02   1.906666e+00
  1.348444e-01    3.559824e+02   2.359550e+00
  1.363256e-01    3.641468e+02   3.084845e+00
  1.378067e-01    3.641199e+02   2.887254e+00
  1.392878e-01    3.634751e+02   2.819405e+00
  1.407689e-01    3.644156e+02   3.055953e+00
  1.422501e-01    3.586515e+02   3.185898e+00
  1.437312e-01    3.554923e+02   2.970523e+00
  1.452123e-01    3.563531e+02   2.777895e+00
  1.466935e-01    3.570040e+02   3.038528e+00
  1.481746e-01    3.514070e+02   2.703508e+00
  1.496557e-01    3.505008e+02   2.889209e+00
  1.511368e-01    3.487968e+02   3.228030e+00
  1.526180e-01    3.517199e+02   3.596430e+00
  1.540991e-01    3.481172e+02   3.347387e+00
  1.555802e-01    3.451466e+02   3.695395e+00
  1.570613e-01    3.491211e+02   3.618003e+00
  1.585425e-01    3.489057e+02   3.848162e+00
  1.600236e-01    3.466042e+02   4.653599e+00
  1.615047e-01    3.492151e+02   4.824432e+00
  1.629859e-01    3.408751e+02   4.507023e+00
  1.644670e-01    3.450375e+02   5.487840e+00
  1.659481e-01    3.387682e+02   4.345347e+00
  1.674292e-01    3.380685e+02   4.437958e+00
  1.689104e-01    3.391060e+02   6.065311e+00
  1.703915e-01    3.376798e+02   6.343922e+00
  1.718726e-01    3.382495e+02   6.811773e+00
  1.733537e-01    3.336002e+02   8.658999e+00
  1.748349e-01    3.239897e+02   9.284142e+00
  1.763160e-01    3.404126e+02   8.843067e+00
  1.777971e-01    3.334341e+02   1.089883e+01
  1.792783e-01    3.313251e+02   1.006114e+01
  1.807594e-01    3.357760e+02   8.052253e+00
  1.822405e-01    3.386722e+02   7.999196e+00
  1.837216e-01    3.344812e+02   8.923003e+00
  1.852028e-01    3.394342e+02   7.812238e+00
  1.866839e-01    3.211789e+02   1.754875e+01
  1.881650e-01    2.956110e+02   2.181657e+01
  1.896461e-01    2.290835e+02   3.323089e+01
