# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080436_H_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    7.652089e+02   3.985931e+01
  1.487312e-02    5.997933e+02   2.911893e+01
  1.635425e-02    6.913886e+02   3.049168e+01
  1.783537e-02    5.916492e+02   2.371962e+01
  1.931650e-02    5.426908e+02   1.301462e+01
  2.079763e-02    5.185670e+02   8.790663e+00
  2.227876e-02    4.941041e+02   6.756658e+00
  2.375988e-02    4.506252e+02   6.388134e+00
  2.524101e-02    4.374399e+02   5.715025e+00
  2.672214e-02    4.143818e+02   4.600852e+00
  2.820327e-02    4.021365e+02   3.801674e+00
  2.968439e-02    3.903093e+02   4.103862e+00
  3.116552e-02    3.827397e+02   3.262793e+00
  3.264665e-02    3.713437e+02   4.400283e+00
  3.412778e-02    3.720150e+02   3.598462e+00
  3.560890e-02    3.598454e+02   3.133492e+00
  3.709003e-02    3.523453e+02   3.173714e+00
  3.857116e-02    3.540233e+02   2.835884e+00
  4.005229e-02    3.545853e+02   3.230672e+00
  4.153341e-02    3.420154e+02   2.726113e+00
  4.301454e-02    3.398740e+02   2.853652e+00
  4.449567e-02    3.399465e+02   2.600652e+00
  4.597679e-02    3.418378e+02   2.781433e+00
  4.745792e-02    3.346434e+02   2.861731e+00
  4.893905e-02    3.242029e+02   2.575203e+00
  5.042018e-02    3.341801e+02   3.057923e+00
  5.190130e-02    3.288299e+02   2.701556e+00
  5.338243e-02    3.282776e+02   2.521802e+00
  5.486356e-02    3.285597e+02   2.534199e+00
  5.634469e-02    3.221476e+02   2.419911e+00
  5.782581e-02    3.207194e+02   2.780133e+00
  5.930694e-02    3.267220e+02   2.334780e+00
  6.078807e-02    3.211322e+02   2.502768e+00
  6.226920e-02    3.197346e+02   2.116350e+00
  6.375032e-02    3.173563e+02   2.478443e+00
  6.523145e-02    3.210786e+02   2.258190e+00
  6.671258e-02    3.169725e+02   2.371141e+00
  6.819370e-02    3.194518e+02   2.311698e+00
  6.967483e-02    3.150377e+02   2.237880e+00
  7.115596e-02    3.129807e+02   1.879498e+00
  7.263709e-02    3.158381e+02   2.179032e+00
  7.411821e-02    3.124784e+02   2.204434e+00
  7.559934e-02    3.153367e+02   1.926888e+00
  7.708047e-02    3.133086e+02   2.047305e+00
  7.856160e-02    3.084240e+02   1.937433e+00
  8.004272e-02    3.147384e+02   2.045342e+00
  8.152385e-02    3.096834e+02   2.347335e+00
  8.300498e-02    3.145638e+02   1.940383e+00
  8.448611e-02    3.107387e+02   2.038546e+00
  8.596723e-02    3.122697e+02   2.183975e+00
  8.744836e-02    3.104253e+02   1.872704e+00
  8.892949e-02    3.128374e+02   1.931374e+00
  9.041061e-02    3.090191e+02   1.853696e+00
  9.189174e-02    3.113215e+02   1.968250e+00
  9.337287e-02    3.095757e+02   1.807437e+00
  9.485400e-02    3.057869e+02   1.946227e+00
  9.633512e-02    3.089518e+02   1.888565e+00
