# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080438_J_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    2.255004e+03   1.178927e+02
  1.487312e-02    1.751370e+03   8.893020e+01
  1.635425e-02    2.015878e+03   8.913175e+01
  1.783537e-02    1.709752e+03   6.896904e+01
  1.931650e-02    1.546269e+03   4.223695e+01
  2.079763e-02    1.481849e+03   2.704998e+01
  2.227876e-02    1.369855e+03   2.074786e+01
  2.375988e-02    1.217323e+03   1.862107e+01
  2.524101e-02    1.159640e+03   1.568470e+01
  2.672214e-02    1.081969e+03   1.169705e+01
  2.820327e-02    1.045121e+03   1.038292e+01
  2.968439e-02    9.999493e+02   9.908137e+00
  3.116552e-02    9.669332e+02   8.489147e+00
  3.264665e-02    9.276919e+02   7.605795e+00
  3.412778e-02    9.185248e+02   7.917606e+00
  3.560890e-02    8.911100e+02   6.995126e+00
  3.709003e-02    8.632517e+02   6.368726e+00
  3.857116e-02    8.586587e+02   6.565554e+00
  4.005229e-02    8.551450e+02   6.405746e+00
  4.153341e-02    8.297908e+02   5.799200e+00
  4.301454e-02    8.158535e+02   5.911076e+00
  4.449567e-02    8.138252e+02   6.710410e+00
  4.597679e-02    8.212982e+02   5.517303e+00
  4.745792e-02    7.981476e+02   6.299023e+00
  4.893905e-02    7.794319e+02   5.276164e+00
  5.042018e-02    7.917344e+02   5.386888e+00
  5.190130e-02    7.809744e+02   5.261045e+00
  5.338243e-02    7.740986e+02   5.367226e+00
  5.486356e-02    7.731168e+02   5.039766e+00
  5.634469e-02    7.525150e+02   4.934083e+00
  5.782581e-02    7.538642e+02   5.686516e+00
  5.930694e-02    7.617073e+02   4.747722e+00
  6.078807e-02    7.540073e+02   5.200735e+00
  6.226920e-02    7.488188e+02   4.587835e+00
  6.375032e-02    7.474003e+02   4.225706e+00
  6.523145e-02    7.442233e+02   4.903179e+00
  6.671258e-02    7.429929e+02   4.675969e+00
  6.819370e-02    7.384078e+02   4.403093e+00
  6.967483e-02    7.325399e+02   4.697278e+00
  7.115596e-02    7.342338e+02   4.332860e+00
  7.263709e-02    7.329673e+02   4.319238e+00
  7.411821e-02    7.343787e+02   4.459793e+00
  7.559934e-02    7.384731e+02   4.372999e+00
  7.708047e-02    7.290200e+02   4.271951e+00
  7.856160e-02    7.242168e+02   3.764124e+00
  8.004272e-02    7.268612e+02   4.227119e+00
  8.152385e-02    7.242521e+02   4.256766e+00
  8.300498e-02    7.318709e+02   3.748384e+00
  8.448611e-02    7.262561e+02   3.984894e+00
  8.596723e-02    7.238793e+02   4.320323e+00
  8.744836e-02    7.197007e+02   3.694019e+00
  8.892949e-02    7.217957e+02   3.778871e+00
  9.041061e-02    7.190377e+02   3.725013e+00
  9.189174e-02    7.219599e+02   3.650695e+00
  9.337287e-02    7.157754e+02   3.957875e+00
  9.485400e-02    7.121467e+02   4.159023e+00
  9.633512e-02    7.184204e+02   4.137378e+00
  9.781625e-02    7.141878e+02   3.730233e+00
  9.929738e-02    7.081176e+02   3.790545e+00
  1.007785e-01    7.159968e+02   4.185976e+00
  1.022596e-01    7.061895e+02   3.613054e+00
  1.037408e-01    7.049793e+02   3.672204e+00
  1.052219e-01    7.041579e+02   3.705522e+00
  1.067030e-01    7.013707e+02   3.721598e+00
