# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080440_L_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    8.605330e+02   2.760619e+01
  1.487312e-02    6.664264e+02   2.603112e+01
  1.635425e-02    7.871403e+02   3.771602e+01
  1.783537e-02    6.662600e+02   3.087503e+01
  1.931650e-02    5.974351e+02   1.658377e+01
  2.079763e-02    5.775466e+02   1.202726e+01
  2.227876e-02    5.365283e+02   1.034508e+01
  2.375988e-02    4.749267e+02   8.378688e+00
  2.524101e-02    4.545679e+02   7.020433e+00
  2.672214e-02    4.295785e+02   5.357519e+00
  2.820327e-02    4.056725e+02   5.257198e+00
  2.968439e-02    3.877662e+02   4.535564e+00
  3.116552e-02    3.799013e+02   3.911145e+00
  3.264665e-02    3.595743e+02   3.810736e+00
  3.412778e-02    3.566823e+02   3.947111e+00
  3.560890e-02    3.470167e+02   3.231528e+00
  3.709003e-02    3.402282e+02   2.847249e+00
  3.857116e-02    3.358853e+02   2.661897e+00
  4.005229e-02    3.339422e+02   2.928514e+00
  4.153341e-02    3.225162e+02   2.579374e+00
  4.301454e-02    3.171341e+02   2.869093e+00
  4.449567e-02    3.175534e+02   2.657542e+00
  4.597679e-02    3.210819e+02   2.644885e+00
  4.745792e-02    3.160684e+02   2.999366e+00
  4.893905e-02    3.034174e+02   2.488639e+00
  5.042018e-02    3.086956e+02   3.020828e+00
  5.190130e-02    3.077581e+02   2.528524e+00
  5.338243e-02    3.022421e+02   2.228258e+00
