# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080442_N_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.621510e+03   8.466612e+01
  1.487312e-02    1.251074e+03   6.207563e+01
  1.635425e-02    1.424515e+03   6.223153e+01
  1.783537e-02    1.214984e+03   4.730210e+01
  1.931650e-02    1.113992e+03   2.849461e+01
  2.079763e-02    1.067257e+03   1.799163e+01
  2.227876e-02    1.012347e+03   1.380548e+01
  2.375988e-02    9.323440e+02   1.109438e+01
  2.524101e-02    8.904775e+02   1.023091e+01
  2.672214e-02    8.503035e+02   8.296191e+00
  2.820327e-02    8.189507e+02   7.364568e+00
  2.968439e-02    7.884777e+02   7.579747e+00
  3.116552e-02    7.783719e+02   6.596923e+00
  3.264665e-02    7.475104e+02   6.425051e+00
  3.412778e-02    7.489169e+02   6.664435e+00
  3.560890e-02    7.259517e+02   5.654488e+00
  3.709003e-02    7.053370e+02   5.687071e+00
  3.857116e-02    7.149439e+02   4.203408e+00
  4.005229e-02    7.086049e+02   4.952094e+00
  4.153341e-02    6.904327e+02   4.738235e+00
  4.301454e-02    6.836104e+02   5.078376e+00
  4.449567e-02    6.878015e+02   5.344889e+00
  4.597679e-02    6.873360e+02   5.037969e+00
  4.745792e-02    6.773444e+02   5.013420e+00
  4.893905e-02    6.597492e+02   4.995136e+00
  5.042018e-02    6.734012e+02   5.189147e+00
  5.190130e-02    6.642351e+02   4.338936e+00
  5.338243e-02    6.599644e+02   4.492421e+00
  5.486356e-02    6.583334e+02   4.712924e+00
  5.634469e-02    6.463257e+02   4.440681e+00
  5.782581e-02    6.481732e+02   4.448556e+00
  5.930694e-02    6.541328e+02   4.387410e+00
  6.078807e-02    6.455102e+02   4.307285e+00
  6.226920e-02    6.420758e+02   3.968435e+00
  6.375032e-02    6.423466e+02   4.427120e+00
  6.523145e-02    6.362990e+02   3.906502e+00
  6.671258e-02    6.394140e+02   4.359299e+00
  6.819370e-02    6.322391e+02   4.040971e+00
  6.967483e-02    6.316855e+02   4.016031e+00
  7.115596e-02    6.331089e+02   3.418318e+00
  7.263709e-02    6.390358e+02   3.892191e+00
  7.411821e-02    6.339395e+02   3.646349e+00
  7.559934e-02    6.361475e+02   3.654506e+00
  7.708047e-02    6.315130e+02   4.094308e+00
  7.856160e-02    6.233923e+02   3.495237e+00
  8.004272e-02    6.333162e+02   3.690330e+00
  8.152385e-02    6.248214e+02   3.724503e+00
  8.300498e-02    6.312254e+02   3.499394e+00
  8.448611e-02    6.276216e+02   3.676548e+00
  8.596723e-02    6.264135e+02   3.656478e+00
  8.744836e-02    6.249988e+02   3.421477e+00
