# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080443_O_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    5.860241e+02   2.534719e+01
  1.487312e-02    4.899130e+02   2.424414e+01
  1.635425e-02    5.836642e+02   2.443409e+01
  1.783537e-02    5.222459e+02   2.113846e+01
  1.931650e-02    4.837451e+02   1.232712e+01
  2.079763e-02    4.854646e+02   8.464913e+00
  2.227876e-02    4.636004e+02   7.207415e+00
  2.375988e-02    4.249384e+02   6.210974e+00
  2.524101e-02    4.134254e+02   5.367017e+00
  2.672214e-02    3.990154e+02   4.559101e+00
  2.820327e-02    3.892935e+02   4.082503e+00
  2.968439e-02    3.783321e+02   4.173756e+00
  3.116552e-02    3.713113e+02   3.749435e+00
  3.264665e-02    3.560252e+02   3.938325e+00
  3.412778e-02    3.611873e+02   3.806995e+00
  3.560890e-02    3.552933e+02   3.138590e+00
  3.709003e-02    3.452855e+02   2.983664e+00
  3.857116e-02    3.466505e+02   3.087659e+00
  4.005229e-02    3.443933e+02   3.284333e+00
  4.153341e-02    3.374428e+02   2.823989e+00
  4.301454e-02    3.346204e+02   3.008136e+00
  4.449567e-02    3.337434e+02   2.524184e+00
  4.597679e-02    3.360711e+02   2.697212e+00
  4.745792e-02    3.324974e+02   2.994055e+00
  4.893905e-02    3.232849e+02   2.648605e+00
  5.042018e-02    3.285415e+02   3.032048e+00
  5.190130e-02    3.238261e+02   2.301219e+00
  5.338243e-02    3.282776e+02   2.456943e+00
  5.486356e-02    3.258502e+02   2.644120e+00
  5.634469e-02    3.168634e+02   2.479069e+00
  5.782581e-02    3.192452e+02   2.635150e+00
  5.930694e-02    3.219374e+02   2.415858e+00
  6.078807e-02    3.181217e+02   2.599232e+00
  6.226920e-02    3.185811e+02   2.154701e+00
  6.375032e-02    3.160603e+02   2.363434e+00
  6.523145e-02    3.138263e+02   2.176602e+00
  6.671258e-02    3.146112e+02   2.235405e+00
  6.819370e-02    3.129267e+02   2.037401e+00
  6.967483e-02    3.127757e+02   2.291055e+00
  7.115596e-02    3.091824e+02   1.938080e+00
  7.263709e-02    3.133764e+02   2.228408e+00
  7.411821e-02    3.099847e+02   2.222893e+00
  7.559934e-02    3.099744e+02   1.923583e+00
  7.708047e-02    3.104000e+02   2.122367e+00
  7.856160e-02    3.070545e+02   2.106657e+00
  8.004272e-02    3.094708e+02   1.919653e+00
  8.152385e-02    3.067776e+02   2.034511e+00
  8.300498e-02    3.088410e+02   1.995842e+00
  8.448611e-02    3.102761e+02   2.002837e+00
  8.596723e-02    3.082079e+02   2.062335e+00
  8.744836e-02    3.081886e+02   1.995153e+00
  8.892949e-02    3.071490e+02   1.821920e+00
  9.041061e-02    3.035154e+02   1.835425e+00
  9.189174e-02    3.074530e+02   2.027826e+00
  9.337287e-02    3.030576e+02   1.882942e+00
  9.485400e-02    3.037891e+02   2.001671e+00
  9.633512e-02    3.049414e+02   2.036859e+00
  9.781625e-02    3.062078e+02   1.933738e+00
  9.929738e-02    3.011274e+02   1.800557e+00
  1.007785e-01    3.043073e+02   1.960133e+00
  1.022596e-01    3.016781e+02   1.738373e+00
  1.037408e-01    2.991638e+02   1.673612e+00
  1.052219e-01    2.986445e+02   1.832708e+00
  1.067030e-01    2.980322e+02   1.770334e+00
  1.081841e-01    3.011370e+02   1.807683e+00
  1.096653e-01    2.972520e+02   1.816244e+00
  1.111464e-01    2.989994e+02   1.660532e+00
  1.126275e-01    2.994950e+02   1.706469e+00
  1.141087e-01    2.969045e+02   1.794364e+00
  1.155898e-01    2.985235e+02   1.728314e+00
  1.170709e-01    2.994563e+02   1.455718e+00
  1.185520e-01    2.981140e+02   1.561529e+00
  1.200332e-01    2.952354e+02   1.684618e+00
  1.215143e-01    2.949989e+02   1.517385e+00
  1.229954e-01    2.928993e+02   1.593821e+00
  1.244765e-01    2.968425e+02   1.648919e+00
  1.259577e-01    2.959416e+02   1.670013e+00
  1.274388e-01    2.923825e+02   1.827269e+00
  1.289199e-01    2.929807e+02   1.751434e+00
  1.304011e-01    2.968818e+02   1.876398e+00
  1.318822e-01    2.954713e+02   1.815380e+00
  1.333633e-01    2.947959e+02   1.781905e+00
  1.348444e-01    2.893734e+02   2.020656e+00
  1.363256e-01    2.970035e+02   2.664137e+00
  1.378067e-01    2.958506e+02   2.429533e+00
  1.392878e-01    2.956588e+02   2.402575e+00
  1.407689e-01    2.955119e+02   2.644919e+00
  1.422501e-01    2.934927e+02   2.662470e+00
  1.437312e-01    2.884224e+02   2.542151e+00
  1.452123e-01    2.942665e+02   2.317348e+00
  1.466935e-01    2.896299e+02   2.499125e+00
  1.481746e-01    2.837885e+02   2.376182e+00
  1.496557e-01    2.851382e+02   2.668742e+00
  1.511368e-01    2.832931e+02   2.799766e+00
  1.526180e-01    2.858709e+02   3.247293e+00
  1.540991e-01    2.833688e+02   3.005246e+00
  1.555802e-01    2.829240e+02   3.385332e+00
  1.570613e-01    2.833146e+02   3.199423e+00
  1.585425e-01    2.831080e+02   3.622642e+00
  1.600236e-01    2.812576e+02   3.871402e+00
  1.615047e-01    2.818784e+02   3.645877e+00
  1.629859e-01    2.784190e+02   3.410285e+00
  1.644670e-01    2.784043e+02   4.341317e+00
  1.659481e-01    2.703482e+02   3.927885e+00
  1.674292e-01    2.760655e+02   3.616303e+00
  1.689104e-01    2.819753e+02   5.558578e+00
  1.703915e-01    2.750643e+02   4.644362e+00
  1.718726e-01    2.780305e+02   5.567263e+00
  1.733537e-01    2.714195e+02   6.632172e+00
  1.748349e-01    2.617887e+02   8.184353e+00
  1.763160e-01    2.785338e+02   6.701473e+00
  1.777971e-01    2.726346e+02   9.025528e+00
  1.792783e-01    2.739476e+02   7.690247e+00
  1.807594e-01    2.761384e+02   5.533019e+00
  1.822405e-01    2.697435e+02   5.494998e+00
  1.837216e-01    2.748477e+02   1.000556e+01
  1.852028e-01    2.699862e+02   7.348405e+00
  1.866839e-01    2.588452e+02   1.093534e+01
  1.881650e-01    2.546516e+02   1.875732e+01
  1.896461e-01    1.811278e+02   2.445824e+01
