# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080447_S_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.431324e+03   7.470547e+01
  1.487312e-02    1.140146e+03   5.619912e+01
  1.635425e-02    1.329036e+03   5.700403e+01
  1.783537e-02    1.163469e+03   4.503393e+01
  1.931650e-02    1.061698e+03   2.651772e+01
  2.079763e-02    1.033666e+03   1.712915e+01
  2.227876e-02    9.688799e+02   1.541462e+01
  2.375988e-02    8.842606e+02   1.164128e+01
  2.524101e-02    8.438808e+02   1.100631e+01
  2.672214e-02    8.115485e+02   8.504856e+00
  2.820327e-02    7.794876e+02   7.637831e+00
  2.968439e-02    7.513647e+02   7.672537e+00
  3.116552e-02    7.345256e+02   6.109844e+00
  3.264665e-02    6.949423e+02   5.893531e+00
  3.412778e-02    6.993492e+02   6.346386e+00
  3.560890e-02    6.751974e+02   5.691733e+00
  3.709003e-02    6.641694e+02   5.034625e+00
  3.857116e-02    6.565867e+02   4.780728e+00
  4.005229e-02    6.614039e+02   5.265731e+00
  4.153341e-02    6.374113e+02   4.689996e+00
  4.301454e-02    6.330105e+02   4.609257e+00
  4.449567e-02    6.284774e+02   4.817059e+00
  4.597679e-02    6.398633e+02   4.646593e+00
  4.745792e-02    6.268730e+02   4.761953e+00
  4.893905e-02    6.047084e+02   4.498035e+00
  5.042018e-02    6.175744e+02   4.795321e+00
  5.190130e-02    6.029436e+02   3.979341e+00
  5.338243e-02    6.102214e+02   4.401950e+00
  5.486356e-02    6.030353e+02   3.704193e+00
  5.634469e-02    5.913718e+02   4.015199e+00
  5.782581e-02    5.959296e+02   4.447619e+00
  5.930694e-02    5.968002e+02   3.871011e+00
  6.078807e-02    5.866400e+02   4.153937e+00
  6.226920e-02    5.856670e+02   3.585039e+00
  6.375032e-02    5.848640e+02   3.595222e+00
  6.523145e-02    5.856415e+02   3.550344e+00
  6.671258e-02    5.828103e+02   3.982927e+00
  6.819370e-02    5.793638e+02   3.850193e+00
  6.967483e-02    5.752073e+02   3.796733e+00
  7.115596e-02    5.802957e+02   3.363389e+00
  7.263709e-02    5.790206e+02   3.861450e+00
  7.411821e-02    5.756490e+02   3.551706e+00
  7.559934e-02    5.731895e+02   3.724783e+00
  7.708047e-02    5.799172e+02   3.586115e+00
  7.856160e-02    5.709289e+02   3.474520e+00
  8.004272e-02    5.745167e+02   3.483757e+00
  8.152385e-02    5.670732e+02   3.449177e+00
  8.300498e-02    5.754854e+02   3.379731e+00
  8.448611e-02    5.694446e+02   3.343225e+00
  8.596723e-02    5.724580e+02   3.337599e+00
  8.744836e-02    5.716556e+02   3.267597e+00
  8.892949e-02    5.701812e+02   2.985684e+00
  9.041061e-02    5.647604e+02   3.145523e+00
  9.189174e-02    5.672509e+02   3.289082e+00
  9.337287e-02    5.665797e+02   3.260633e+00
  9.485400e-02    5.620850e+02   3.091690e+00
  9.633512e-02    5.646387e+02   3.276261e+00
  9.781625e-02    5.642693e+02   2.993543e+00
  9.929738e-02    5.589856e+02   2.926473e+00
  1.007785e-01    5.638904e+02   3.088796e+00
  1.022596e-01    5.601613e+02   2.984479e+00
  1.037408e-01    5.546491e+02   3.007628e+00
  1.052219e-01    5.496700e+02   3.043528e+00
  1.067030e-01    5.556595e+02   2.934955e+00
  1.081841e-01    5.557504e+02   2.792204e+00
  1.096653e-01    5.540437e+02   2.820860e+00
  1.111464e-01    5.555841e+02   2.795242e+00
  1.126275e-01    5.534109e+02   2.909387e+00
  1.141087e-01    5.500461e+02   2.717932e+00
  1.155898e-01    5.500429e+02   2.784450e+00
  1.170709e-01    5.534456e+02   2.722008e+00
  1.185520e-01    5.514243e+02   2.819353e+00
  1.200332e-01    5.477079e+02   2.842226e+00
  1.215143e-01    5.436241e+02   2.639259e+00
  1.229954e-01    5.474460e+02   2.623149e+00
  1.244765e-01    5.487305e+02   2.738006e+00
  1.259577e-01    5.491604e+02   2.714437e+00
  1.274388e-01    5.419138e+02   2.916987e+00
  1.289199e-01    5.451387e+02   2.975856e+00
  1.304011e-01    5.477266e+02   3.115978e+00
  1.318822e-01    5.429670e+02   3.243418e+00
  1.333633e-01    5.395420e+02   3.199153e+00
  1.348444e-01    5.381620e+02   3.545782e+00
  1.363256e-01    5.499333e+02   4.401112e+00
  1.378067e-01    5.440348e+02   3.882534e+00
  1.392878e-01    5.479382e+02   3.992890e+00
  1.407689e-01    5.500375e+02   4.168483e+00
  1.422501e-01    5.462998e+02   4.631810e+00
  1.437312e-01    5.338223e+02   4.112968e+00
  1.452123e-01    5.394299e+02   4.166176e+00
  1.466935e-01    5.345038e+02   4.281789e+00
  1.481746e-01    5.307284e+02   4.017920e+00
  1.496557e-01    5.303307e+02   4.457264e+00
  1.511368e-01    5.230598e+02   4.440106e+00
  1.526180e-01    5.285273e+02   4.784686e+00
  1.540991e-01    5.222730e+02   4.872123e+00
  1.555802e-01    5.225622e+02   5.243159e+00
  1.570613e-01    5.223677e+02   5.633389e+00
  1.585425e-01    5.266534e+02   5.426584e+00
  1.600236e-01    5.183109e+02   5.971570e+00
