# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080448_T_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.572733e+03   9.074616e+01
  1.487312e-02    1.226259e+03   6.360970e+01
  1.635425e-02    1.408723e+03   5.925047e+01
  1.783537e-02    1.200215e+03   4.768581e+01
  1.931650e-02    1.096210e+03   2.693685e+01
  2.079763e-02    1.065634e+03   1.702244e+01
  2.227876e-02    9.986812e+02   1.292905e+01
  2.375988e-02    9.245129e+02   1.372248e+01
  2.524101e-02    8.792158e+02   1.109787e+01
  2.672214e-02    8.389399e+02   8.257013e+00
  2.820327e-02    8.031555e+02   7.669033e+00
  2.968439e-02    7.831618e+02   8.284428e+00
  3.116552e-02    7.597727e+02   6.536943e+00
  3.264665e-02    7.343002e+02   5.981444e+00
  3.412778e-02    7.350464e+02   6.921007e+00
  3.560890e-02    7.101861e+02   5.235522e+00
  3.709003e-02    6.987081e+02   5.857098e+00
  3.857116e-02    6.962426e+02   4.763917e+00
  4.005229e-02    6.912021e+02   5.429672e+00
  4.153341e-02    6.811240e+02   5.040744e+00
  4.301454e-02    6.716116e+02   5.003579e+00
  4.449567e-02    6.669858e+02   4.947810e+00
  4.597679e-02    6.721116e+02   5.071354e+00
  4.745792e-02    6.655617e+02   5.465797e+00
  4.893905e-02    6.398723e+02   4.905138e+00
  5.042018e-02    6.518107e+02   5.108657e+00
  5.190130e-02    6.431001e+02   4.552882e+00
  5.338243e-02    6.408519e+02   4.716125e+00
  5.486356e-02    6.388568e+02   4.073308e+00
  5.634469e-02    6.222697e+02   4.249107e+00
  5.782581e-02    6.336402e+02   4.494224e+00
  5.930694e-02    6.329728e+02   4.106423e+00
  6.078807e-02    6.263885e+02   4.527357e+00
  6.226920e-02    6.210582e+02   3.931443e+00
  6.375032e-02    6.228611e+02   4.340643e+00
  6.523145e-02    6.173376e+02   3.852808e+00
  6.671258e-02    6.173547e+02   3.817637e+00
  6.819370e-02    6.143867e+02   3.674882e+00
  6.967483e-02    6.127974e+02   4.357974e+00
  7.115596e-02    6.095225e+02   3.761346e+00
  7.263709e-02    6.146735e+02   3.697873e+00
  7.411821e-02    6.079517e+02   3.591571e+00
  7.559934e-02    6.093854e+02   3.449542e+00
  7.708047e-02    6.115985e+02   3.867064e+00
  7.856160e-02    6.016022e+02   3.333840e+00
  8.004272e-02    6.098925e+02   3.504389e+00
  8.152385e-02    6.038848e+02   3.915103e+00
  8.300498e-02    6.102911e+02   3.576077e+00
  8.448611e-02    6.076542e+02   3.472543e+00
  8.596723e-02    6.031954e+02   3.731035e+00
  8.744836e-02    6.073875e+02   3.145975e+00
  8.892949e-02    6.076913e+02   3.298120e+00
  9.041061e-02    5.980074e+02   3.232805e+00
  9.189174e-02    6.032647e+02   3.376839e+00
  9.337287e-02    6.002452e+02   3.622105e+00
  9.485400e-02    5.972548e+02   3.349236e+00
  9.633512e-02    5.997192e+02   3.393717e+00
  9.781625e-02    5.930062e+02   3.376964e+00
  9.929738e-02    5.942328e+02   3.284660e+00
  1.007785e-01    5.964698e+02   3.350646e+00
  1.022596e-01    5.922153e+02   2.976620e+00
  1.037408e-01    5.891406e+02   3.421914e+00
  1.052219e-01    5.896736e+02   3.188901e+00
  1.067030e-01    5.901908e+02   3.195717e+00
  1.081841e-01    5.899782e+02   3.020052e+00
  1.096653e-01    5.860485e+02   3.098944e+00
  1.111464e-01    5.871830e+02   3.043334e+00
  1.126275e-01    5.898233e+02   2.924258e+00
  1.141087e-01    5.852472e+02   3.176940e+00
  1.155898e-01    5.836547e+02   3.066933e+00
  1.170709e-01    5.866315e+02   2.684513e+00
  1.185520e-01    5.861637e+02   2.893836e+00
  1.200332e-01    5.819628e+02   3.014924e+00
  1.215143e-01    5.800900e+02   2.744819e+00
  1.229954e-01    5.764859e+02   3.050734e+00
  1.244765e-01    5.831995e+02   2.740385e+00
  1.259577e-01    5.812970e+02   2.919732e+00
  1.274388e-01    5.741808e+02   3.082254e+00
  1.289199e-01    5.745577e+02   3.030267e+00
  1.304011e-01    5.793925e+02   3.234603e+00
  1.318822e-01    5.788132e+02   3.243051e+00
  1.333633e-01    5.754061e+02   3.219674e+00
  1.348444e-01    5.714368e+02   3.405662e+00
  1.363256e-01    5.845747e+02   4.623363e+00
  1.378067e-01    5.835760e+02   4.397964e+00
  1.392878e-01    5.839920e+02   4.276496e+00
  1.407689e-01    5.817603e+02   4.640386e+00
  1.422501e-01    5.742823e+02   4.577662e+00
  1.437312e-01    5.689474e+02   4.442575e+00
  1.452123e-01    5.718132e+02   4.244640e+00
  1.466935e-01    5.692967e+02   4.495804e+00
  1.481746e-01    5.657582e+02   4.272886e+00
  1.496557e-01    5.614492e+02   4.648777e+00
  1.511368e-01    5.587859e+02   4.857067e+00
  1.526180e-01    5.586096e+02   5.149715e+00
  1.540991e-01    5.526628e+02   5.073351e+00
  1.555802e-01    5.535680e+02   5.963064e+00
  1.570613e-01    5.596561e+02   5.877975e+00
  1.585425e-01    5.585280e+02   6.516145e+00
  1.600236e-01    5.545382e+02   7.089301e+00
  1.615047e-01    5.516166e+02   7.302755e+00
  1.629859e-01    5.473932e+02   7.506852e+00
  1.644670e-01    5.512360e+02   8.613123e+00
  1.659481e-01    5.415248e+02   6.508595e+00
  1.674292e-01    5.387413e+02   7.690134e+00
  1.689104e-01    5.513940e+02   8.914215e+00
  1.703915e-01    5.383765e+02   9.262779e+00
  1.718726e-01    5.472673e+02   1.057819e+01
  1.733537e-01    5.366650e+02   1.205571e+01
  1.748349e-01    5.219170e+02   1.627224e+01
  1.763160e-01    5.442323e+02   1.094128e+01
  1.777971e-01    5.255552e+02   1.811539e+01
  1.792783e-01    5.370693e+02   1.345899e+01
  1.807594e-01    5.467321e+02   1.163233e+01
  1.822405e-01    5.383076e+02   1.267682e+01
  1.837216e-01    5.416066e+02   1.350123e+01
  1.852028e-01    5.371027e+02   1.843714e+01
  1.866839e-01    5.133488e+02   2.731162e+01
  1.881650e-01    4.929607e+02   3.429509e+01
  1.896461e-01    3.867509e+02   6.040378e+01
