# == pyFAI calibration ==
# Distance Sample to Detector: 4.500115234375 m
# PONI: 4.721e-01, 4.464e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 4500.115 mm
# Center: x=59.522, y=62.942 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.9974700808525085e-09 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/lutzbueno_v/Documents/GitHub/pipeline_SANS1/Data_Py/analysis/det_4p5\integration/integ_080451_EC_4p5m.dat
#       q_nm^-1              I           sigma 
  1.339199e-02    1.384862e+00   2.046830e-01
  1.487312e-02    1.857564e+00   3.453695e-01
  1.635425e-02    1.727735e+00   2.686593e-01
  1.783537e-02    2.383078e+00   2.354532e-01
  1.931650e-02    1.925700e+00   2.275674e-01
  2.079763e-02    2.489915e+00   2.366244e-01
  2.227876e-02    2.298961e+00   2.674831e-01
  2.375988e-02    2.385893e+00   1.888761e-01
  2.524101e-02    3.021431e+00   2.379300e-01
  2.672214e-02    2.425375e+00   2.108255e-01
  2.820327e-02    2.368460e+00   1.811976e-01
  2.968439e-02    2.461077e+00   1.761304e-01
  3.116552e-02    2.479901e+00   1.986837e-01
  3.264665e-02    2.168863e+00   1.815631e-01
  3.412778e-02    2.792556e+00   1.948754e-01
  3.560890e-02    2.536384e+00   1.863652e-01
  3.709003e-02    2.129374e+00   1.515248e-01
  3.857116e-02    2.340807e+00   1.848999e-01
  4.005229e-02    2.285838e+00   1.689175e-01
  4.153341e-02    2.460552e+00   1.626510e-01
  4.301454e-02    2.493274e+00   1.529458e-01
  4.449567e-02    2.398127e+00   1.633429e-01
  4.597679e-02    2.392556e+00   1.576509e-01
  4.745792e-02    2.267470e+00   1.318014e-01
  4.893905e-02    2.510374e+00   1.537300e-01
  5.042018e-02    2.284359e+00   1.434315e-01
  5.190130e-02    2.221895e+00   1.477199e-01
  5.338243e-02    2.528575e+00   1.513978e-01
  5.486356e-02    2.454376e+00   1.382226e-01
  5.634469e-02    2.389305e+00   1.293986e-01
  5.782581e-02    2.529752e+00   1.394350e-01
  5.930694e-02    2.358607e+00   1.424033e-01
  6.078807e-02    2.477432e+00   1.355464e-01
  6.226920e-02    2.366912e+00   1.230298e-01
  6.375032e-02    2.277436e+00   1.309403e-01
  6.523145e-02    2.600424e+00   1.630720e-01
  6.671258e-02    2.592025e+00   1.268517e-01
  6.819370e-02    2.390110e+00   1.375145e-01
  6.967483e-02    2.401777e+00   1.240311e-01
  7.115596e-02    2.558941e+00   1.304122e-01
  7.263709e-02    2.448962e+00   1.338918e-01
  7.411821e-02    2.390652e+00   1.260505e-01
  7.559934e-02    2.513613e+00   1.127930e-01
  7.708047e-02    2.523193e+00   1.122868e-01
  7.856160e-02    2.496536e+00   1.333472e-01
  8.004272e-02    2.607794e+00   1.281274e-01
  8.152385e-02    2.643872e+00   1.294318e-01
  8.300498e-02    2.635177e+00   1.216836e-01
  8.448611e-02    2.519748e+00   1.247928e-01
  8.596723e-02    2.730234e+00   1.226168e-01
  8.744836e-02    2.642803e+00   1.187876e-01
  8.892949e-02    2.608080e+00   1.260276e-01
  9.041061e-02    2.459463e+00   1.108978e-01
  9.189174e-02    2.318038e+00   1.124800e-01
  9.337287e-02    2.474521e+00   1.325710e-01
  9.485400e-02    2.526335e+00   1.273618e-01
  9.633512e-02    2.492199e+00   1.108538e-01
  9.781625e-02    2.414402e+00   1.151621e-01
  9.929738e-02    2.533265e+00   1.130911e-01
  1.007785e-01    2.500673e+00   1.151006e-01
  1.022596e-01    2.715472e+00   1.154808e-01
  1.037408e-01    2.549336e+00   9.991585e-02
  1.052219e-01    2.765571e+00   1.130600e-01
  1.067030e-01    2.575147e+00   1.074427e-01
  1.081841e-01    2.549244e+00   1.047753e-01
  1.096653e-01    2.522212e+00   1.058531e-01
  1.111464e-01    2.428377e+00   1.046985e-01
  1.126275e-01    2.581578e+00   1.034017e-01
  1.141087e-01    2.386237e+00   1.005067e-01
  1.155898e-01    2.594529e+00   1.012575e-01
  1.170709e-01    2.503989e+00   1.004584e-01
