+----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+--------+---------------------+----------------+----------+
|    |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |   time | name_hdf            |   transmission |   counts |
|----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+--------+---------------------+----------------+----------|
|  0 |       3 | 080333 | mask   |     2 |    4.5 |  5.00051e-09 |   4.5 |       0 |  24.99 |     10 |  17.01 | sans2021n080333.hdf |          0.95  |   980771 |
|  1 |       4 | 080334 | EB     |     2 |    4.5 |  4.99747e-09 |   4.5 |       0 |  25.63 |     10 |  16.97 | sans2021n080334.hdf |          1     |  1032300 |
|  2 |       5 | 080335 | Cd     |     2 |    4.5 |  4.99747e-09 |   4.5 |       0 |  25.37 |     10 |  16.95 | sans2021n080335.hdf |          0     |        0 |
|  3 |       6 | 080336 | EC     |     2 |    4.5 |  4.99872e-09 |   4.5 |       0 |  25.11 |     10 |  18.13 | sans2021n080336.hdf |          0.966 |   997300 |
|  4 |       7 | 080337 | H2O    |     2 |    4.5 |  4.99872e-09 |   4.5 |       0 |  25    |     10 |  17    | sans2021n080337.hdf |          0.558 |   575637 |
|  5 |      18 | 080350 | A      |     2 |    4.5 |  5.0023e-09  |   4.5 |       0 |  24.99 |     10 |  16.91 | sans2021n080350.hdf |          0.857 |   884851 |
|  6 |      19 | 080351 | B      |     2 |    4.5 |  5.0023e-09  |   4.5 |       0 |  24.97 |     10 |  19.25 | sans2021n080351.hdf |          0.809 |   834780 |
|  7 |      20 | 080352 | C      |     2 |    4.5 |  5.00284e-09 |   4.5 |       0 |  25    |     10 |  16.96 | sans2021n080352.hdf |          0.778 |   802939 |
|  8 |      21 | 080353 | D      |     2 |    4.5 |  5.00284e-09 |   4.5 |       0 |  25.01 |     10 |  17.03 | sans2021n080353.hdf |          0.813 |   839506 |
|  9 |      22 | 080354 | E      |     2 |    4.5 |  5.00176e-09 |   4.5 |       0 |  24.98 |     10 |  16.93 | sans2021n080354.hdf |          0.754 |   778524 |
| 10 |      23 | 080355 | F      |     2 |    4.5 |  5.00176e-09 |   4.5 |       0 |  25.02 |     10 |  17.07 | sans2021n080355.hdf |          0.747 |   771112 |
| 11 |      24 | 080356 | G      |     2 |    4.5 |  4.99819e-09 |   4.5 |       0 |  25.04 |     10 |  17.07 | sans2021n080356.hdf |          0.744 |   768428 |
| 12 |      25 | 080357 | H      |     2 |    4.5 |  4.99819e-09 |   4.5 |       0 |  25.03 |     10 |  16.95 | sans2021n080357.hdf |          0.798 |   823649 |
| 13 |      26 | 080358 | I      |     2 |    4.5 |  4.99926e-09 |   4.5 |       0 |  25.03 |     10 |  16.96 | sans2021n080358.hdf |          0.727 |   750137 |
| 14 |      27 | 080359 | J      |     2 |    4.5 |  4.99926e-09 |   4.5 |       0 |  25.03 |     10 |  17.02 | sans2021n080359.hdf |          0.792 |   818069 |
| 15 |      28 | 080360 | K      |     2 |    4.5 |  4.99944e-09 |   4.5 |       0 |  25.01 |     10 |  17.01 | sans2021n080360.hdf |          0.802 |   827996 |
| 16 |      29 | 080361 | L      |     2 |    4.5 |  4.99944e-09 |   4.5 |       0 |  25    |     10 |  18.31 | sans2021n080361.hdf |          0.804 |   829528 |
| 17 |      30 | 080362 | M      |     2 |    4.5 |  5.0023e-09  |   4.5 |       0 |  24.99 |     10 |  16.92 | sans2021n080362.hdf |          0.796 |   821254 |
| 18 |      31 | 080363 | N      |     2 |    4.5 |  5.0023e-09  |   4.5 |       0 |  24.99 |     10 |  17    | sans2021n080363.hdf |          0.796 |   821932 |
| 19 |      32 | 080364 | O      |     2 |    4.5 |  5.00051e-09 |   4.5 |       0 |  24.98 |     10 |  16.94 | sans2021n080364.hdf |          0.787 |   812117 |
| 20 |      33 | 080365 | P      |     2 |    4.5 |  5.00051e-09 |   4.5 |       0 |  24.99 |     10 |  16.98 | sans2021n080365.hdf |          0.799 |   824357 |
| 21 |      34 | 080366 | Q      |     2 |    4.5 |  5.00051e-09 |   4.5 |       0 |  25.01 |     10 |  17.02 | sans2021n080366.hdf |          0.795 |   821089 |
| 22 |      35 | 080367 | R      |     2 |    4.5 |  5.00051e-09 |   4.5 |       0 |  24.99 |     10 |  16.98 | sans2021n080367.hdf |          0.78  |   805687 |
| 23 |      36 | 080368 | S      |     2 |    4.5 |  4.99872e-09 |   4.5 |       0 |  25.01 |     10 |  17.02 | sans2021n080368.hdf |          0.806 |   831723 |
| 24 |      37 | 080369 | T      |     2 |    4.5 |  5.00033e-09 |   4.5 |       0 |  24.99 |     10 |  17.01 | sans2021n080369.hdf |          0.799 |   824756 |
| 25 |      38 | 080370 | U      |     2 |    4.5 |  5.00033e-09 |   4.5 |       0 |  25.01 |     10 |  19.22 | sans2021n080370.hdf |          0.796 |   821642 |
| 26 |      39 | 080371 | V      |     2 |    4.5 |  4.99819e-09 |   4.5 |       0 |  25    |     10 |  17.05 | sans2021n080371.hdf |          0.794 |   819292 |
+----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+--------+---------------------+----------------+----------+
